"Time","Force","Position","Velocity","Acceleration"
0.033300,1.954,-0.093,-0.002,-0.032
0.066600,1.960,-0.093,-0.004,-0.008
0.099900,1.966,-0.094,-0.005,0.033
0.133200,1.960,-0.094,0.000,0.031
0.166500,1.966,-0.093,-0.001,-0.014
0.199800,1.966,-0.094,-0.004,0.007
0.233100,1.972,-0.094,0.000,0.010
0.266400,1.972,-0.094,-0.001,-0.026
0.299700,1.972,-0.094,-0.004,0.006
0.333000,1.972,-0.094,-0.001,0.040
0.366300,1.978,-0.094,0.001,0.015
0.399600,1.972,-0.094,-0.001,0.016
0.432900,1.972,-0.094,0.001,0.045
0.466200,1.972,-0.094,0.004,0.018
0.499500,1.966,-0.094,0.002,-0.002
0.532800,1.966,-0.094,0.002,0.024
0.566100,1.960,-0.094,0.005,0.005
0.599400,1.960,-0.093,0.004,-0.047
0.632700,1.966,-0.093,0.001,-0.061
0.666000,1.960,-0.093,-0.001,-0.047
0.699300,1.960,-0.093,-0.004,0.010
0.732600,1.954,-0.094,0.000,0.057
0.765900,1.954,-0.093,0.003,0.009
0.799200,1.960,-0.093,-0.001,-0.020
0.832500,1.972,-0.094,0.000,-0.009
0.865800,1.960,-0.093,0.001,-0.046
0.899100,1.966,-0.093,-0.003,-0.067
0.932400,1.966,-0.094,-0.006,-0.028
0.965700,1.966,-0.094,-0.005,0.011
0.999000,1.966,-0.094,-0.004,0.023
1.032300,1.966,-0.094,-0.003,0.035
1.065600,1.972,-0.094,-0.001,0.035
1.098900,1.978,-0.094,-0.002,0.043
1.132200,1.972,-0.095,0.002,0.037
1.165500,1.972,-0.094,0.002,-0.004
1.198800,1.972,-0.094,0.000,0.013
1.232100,1.966,-0.094,0.003,0.041
1.265400,1.972,-0.094,0.004,0.028
1.298700,1.966,-0.094,0.005,0.012
1.332000,1.966,-0.094,0.005,-0.023
1.365300,1.966,-0.093,0.002,-0.032
1.398600,1.960,-0.094,0.002,-0.006
1.431900,1.966,-0.093,0.004,-0.035
1.465200,1.960,-0.093,0.000,-0.072
1.498500,1.960,-0.093,-0.004,-0.024
1.531800,1.960,-0.094,-0.001,0.022
1.565100,1.960,-0.093,0.000,0.009
1.598400,1.960,-0.094,0.000,-0.019
1.631700,1.960,-0.093,-0.002,-0.052
1.665000,1.960,-0.094,-0.005,-0.039
1.698300,1.966,-0.094,-0.005,-0.006
1.731600,1.972,-0.094,-0.005,0.004
1.764900,1.966,-0.094,-0.005,0.034
1.798200,1.972,-0.095,-0.002,0.044
1.831500,1.972,-0.094,-0.001,0.018
1.864800,1.972,-0.095,-0.002,0.024
1.898100,1.978,-0.095,0.000,0.038
1.931400,1.972,-0.095,0.002,0.017
1.964700,1.966,-0.094,0.001,0.001
1.998000,1.972,-0.095,0.001,0.015
2.031300,1.972,-0.094,0.003,0.018
2.064600,1.966,-0.094,0.002,0.026
2.097900,1.972,-0.094,0.004,0.028
2.131200,1.966,-0.094,0.006,-0.021
2.164500,1.960,-0.094,0.003,-0.070
2.197800,1.954,-0.094,-0.002,-0.047
2.231100,1.954,-0.094,-0.002,0.022
2.264400,1.966,-0.094,0.002,0.033
2.297700,1.954,-0.094,0.003,-0.013
2.331000,1.954,-0.094,0.000,-0.036
2.364300,1.960,-0.094,-0.002,-0.010
