"Time","Force","Position","Velocity","Acceleration"
0.033300,1.990,-0.095,0.019,-0.203
0.066600,1.990,-0.094,0.012,-0.173
0.099900,1.990,-0.094,0.004,-0.090
0.133200,1.984,-0.094,0.004,0.047
0.166500,1.966,-0.094,0.011,0.099
0.199800,1.960,-0.093,0.014,0.032
0.233100,1.954,-0.093,0.014,-0.068
0.266400,1.954,-0.092,0.008,-0.116
0.299700,1.942,-0.092,0.002,-0.051
0.333000,1.942,-0.093,0.006,-0.014
0.366300,1.936,-0.092,0.005,-0.090
0.399600,1.942,-0.092,-0.001,-0.154
0.432900,1.942,-0.092,-0.008,-0.137
0.466200,1.936,-0.093,-0.014,-0.022
0.499500,1.948,-0.093,-0.007,0.036
0.532800,1.954,-0.093,-0.005,-0.049
0.566100,1.966,-0.093,-0.013,-0.075
0.599400,1.966,-0.094,-0.014,0.000
0.632700,1.984,-0.094,-0.012,0.070
0.666000,1.984,-0.095,-0.008,0.097
0.699300,1.996,-0.095,-0.005,0.087
0.732600,1.990,-0.095,-0.002,0.063
0.765900,1.990,-0.095,-0.002,0.074
0.799200,1.990,-0.095,0.002,0.113
0.832500,1.990,-0.095,0.008,0.080
0.865800,1.990,-0.094,0.008,0.022
0.899100,1.978,-0.094,0.008,0.014
0.932400,1.978,-0.094,0.007,0.054
0.965700,1.966,-0.094,0.012,0.078
0.999000,1.960,-0.093,0.016,-0.002
1.032300,1.948,-0.093,0.012,-0.094
1.065600,1.948,-0.092,0.008,-0.123
1.098900,1.936,-0.092,0.002,-0.095
1.132200,1.942,-0.092,0.001,-0.048
1.165500,1.936,-0.092,0.001,-0.059
1.198800,1.936,-0.092,-0.003,-0.081
1.232100,1.942,-0.092,-0.005,-0.083
1.265400,1.948,-0.092,-0.008,-0.081
1.298700,1.960,-0.093,-0.011,-0.044
1.332000,1.960,-0.093,-0.012,0.004
1.365300,1.972,-0.094,-0.011,0.042
1.398600,1.966,-0.094,-0.007,0.036
1.431900,1.984,-0.094,-0.008,0.019
1.465200,1.984,-0.094,-0.008,0.064
1.498500,1.990,-0.095,-0.003,0.086
1.531800,1.990,-0.094,-0.001,0.065
1.565100,1.996,-0.095,0.000,0.085
1.598400,1.996,-0.095,0.005,0.086
1.631700,1.978,-0.094,0.007,0.041
1.665000,1.984,-0.094,0.007,0.032
1.698300,1.972,-0.094,0.010,0.015
1.731600,1.978,-0.093,0.008,-0.013
1.764900,1.954,-0.093,0.007,0.004
1.798200,1.954,-0.093,0.010,-0.008
1.831500,1.948,-0.093,0.008,-0.057
1.864800,1.942,-0.093,0.005,-0.083
1.898100,1.942,-0.092,0.002,-0.105
1.931400,1.936,-0.092,-0.003,-0.096
1.964700,1.942,-0.093,-0.006,-0.040
