"Time","Force","Position","Velocity","Acceleration"
0.033300,1.168,-0.059,-0.448,-1.174
0.066600,1.444,-0.073,-0.485,-1.159
0.099900,1.781,-0.089,-0.533,-0.927
0.133200,2.165,-0.109,-0.561,-0.284
0.166500,2.562,-0.128,-0.558,0.605
0.199800,2.952,-0.147,-0.523,1.578
0.233100,3.306,-0.164,-0.450,2.462
0.266400,3.619,-0.178,-0.351,3.091
0.299700,3.847,-0.187,-0.239,3.531
0.333000,3.991,-0.194,-0.116,3.890
0.366300,4.051,-0.196,0.024,4.078
0.399600,3.991,-0.192,0.168,3.891
0.432900,3.847,-0.184,0.292,3.381
0.466200,3.607,-0.172,0.395,2.735
0.499500,3.306,-0.157,0.476,1.990
0.532800,2.940,-0.140,0.530,1.139
0.566100,2.556,-0.121,0.557,0.132
0.599400,2.159,-0.102,0.541,-0.941
0.632700,1.787,-0.084,0.488,-1.843
0.666000,1.444,-0.069,0.419,-2.703
0.699300,1.174,-0.055,0.306,-3.427
0.732600,0.982,-0.048,0.176,-3.704
0.765900,0.868,-0.043,0.053,-3.769
0.799200,0.868,-0.044,-0.072,-3.839
0.832500,0.964,-0.048,-0.205,-3.785
0.865800,1.150,-0.058,-0.339,-3.286
0.899100,1.408,-0.072,-0.434,-2.454
0.932400,1.751,-0.088,-0.500,-1.621
0.965700,2.117,-0.105,-0.542,-0.752
0.999000,2.507,-0.125,-0.552,0.184
1.032300,2.904,-0.143,-0.530,1.136
1.065600,3.258,-0.161,-0.479,2.140
1.098900,3.577,-0.176,-0.385,3.057
1.132200,3.811,-0.187,-0.266,3.670
1.165500,3.973,-0.194,-0.136,4.055
1.198800,4.027,-0.196,0.011,4.169
1.232100,3.997,-0.193,0.153,3.916
1.265400,3.859,-0.186,0.279,3.415
1.298700,3.637,-0.174,0.382,2.818
1.332000,3.342,-0.160,0.467,2.151
1.365300,2.988,-0.142,0.531,1.270
1.398600,2.610,-0.123,0.557,0.207
1.431900,2.207,-0.104,0.545,-0.862
1.465200,1.841,-0.086,0.496,-1.806
1.498500,1.486,-0.071,0.419,-2.554
1.531800,1.216,-0.058,0.324,-3.191
1.565100,1.006,-0.048,0.205,-3.728
1.598400,0.892,-0.044,0.067,-3.988
1.631700,0.880,-0.044,-0.070,-3.927
1.665000,0.952,-0.049,-0.199,-3.664
1.698300,1.132,-0.057,-0.318,-3.223
1.731600,1.372,-0.070,-0.419,-2.588
1.764900,1.709,-0.086,-0.495,-1.780
1.798200,2.063,-0.104,-0.542,-0.822
1.831500,2.453,-0.123,-0.552,0.203
1.864800,2.844,-0.142,-0.528,1.217
1.898100,3.210,-0.159,-0.467,2.115
1.931400,3.529,-0.173,-0.380,2.791
1.964700,3.775,-0.185,-0.279,3.351
1.998000,3.949,-0.193,-0.156,3.829
2.031300,4.009,-0.196,-0.016,4.038
2.064600,3.997,-0.194,0.124,3.883
2.097900,3.877,-0.187,0.249,3.486
2.131200,3.667,-0.177,0.356,3.018
2.164500,3.378,-0.163,0.453,2.399
2.197800,3.042,-0.146,0.522,1.556
2.231100,2.664,-0.128,0.563,0.500
2.264400,2.267,-0.107,0.562,-0.729
2.297700,1.889,-0.089,0.509,-1.779
2.331000,1.540,-0.073,0.434,-2.532
2.364300,1.252,-0.059,0.337,-3.149
2.397600,1.042,-0.050,0.221,-3.632
2.430900,0.922,-0.044,0.091,-3.934
2.464200,0.880,-0.043,-0.048,-3.982
2.497500,0.952,-0.047,-0.182,-3.754
2.530800,1.114,-0.056,-0.303,-3.329
2.564100,1.348,-0.068,-0.406,-2.777
2.597400,1.655,-0.083,-0.496,-1.937
2.630700,2.015,-0.102,-0.545,-0.811
2.664000,2.399,-0.121,-0.547,0.257
2.697300,2.790,-0.139,-0.523,1.180
2.730600,3.156,-0.156,-0.466,1.986
2.763900,3.480,-0.171,-0.387,2.680
2.797200,3.733,-0.183,-0.287,3.313
2.830500,3.913,-0.191,-0.163,3.786
2.863800,4.003,-0.194,-0.026,3.968
2.897100,3.991,-0.192,0.110,3.842
2.930400,3.877,-0.186,0.235,3.508
2.963700,3.691,-0.176,0.347,3.005
2.997000,3.414,-0.163,0.441,2.286
3.030300,3.084,-0.146,0.505,1.383
3.063600,2.712,-0.128,0.535,0.410
3.096900,2.321,-0.110,0.531,-0.539
3.130200,1.937,-0.092,0.496,-1.396
3.163500,1.594,-0.076,0.436,-2.152
3.196800,1.294,-0.062,0.350,-2.814
3.230100,1.084,-0.052,0.249,-3.460
3.263400,0.940,-0.045,0.118,-3.992
3.296700,0.898,-0.044,-0.031,-4.071
3.330000,0.958,-0.047,-0.164,-3.770
3.363300,1.090,-0.055,-0.284,-3.328
3.396600,1.324,-0.067,-0.390,-2.720
3.429900,1.619,-0.082,-0.470,-1.941
3.463200,1.973,-0.099,-0.522,-1.058
