"Time","Radiation"
0.05,1
0.10,2
0.15,3
0.20,2
0.25,1
0.30,1
0.35,0
0.40,1
0.45,1
0.50,4
0.55,0
0.60,3
0.65,2
0.70,0
0.75,3
0.80,0
0.85,0
0.90,1
0.95,0
1.00,0
1.05,2
1.10,1
1.15,0
1.20,1
1.25,1
1.30,2
1.35,0
1.40,0
1.45,0
1.50,1
1.55,1
1.60,1
1.65,1
1.70,1
1.75,1
1.80,0
1.85,0
1.90,0
1.95,0
2.00,0
2.05,0
2.10,0
2.15,1
2.20,0
2.25,1
2.30,1
2.35,1
2.40,2
2.45,0
2.50,3
2.55,0
2.60,2
2.65,2
2.70,0
2.75,0
2.80,0
2.85,0
2.90,2
2.95,1
3.00,2
3.05,1
3.10,0
3.15,0
3.20,0
3.25,1
3.30,1
3.35,0
3.40,1
3.45,0
3.50,1
3.55,1
3.60,3
3.65,1
3.70,1
3.75,0
3.80,0
3.85,1
3.90,2
3.95,0
4.00,1
4.05,0
4.10,0
4.15,0
4.20,2
4.25,0
4.30,1
4.35,1
4.40,2
4.45,3
4.50,2
4.55,0
4.60,1
4.65,0
4.70,0
4.75,0
4.80,0
4.85,0
4.90,1
4.95,1
5.00,3
5.05,0
5.10,1
5.15,0
5.20,1
5.25,0
5.30,0
5.35,1
5.40,0
5.45,5
5.50,1
5.55,1
5.60,1
5.65,0
5.70,0
5.75,1
5.80,0
5.85,3
5.90,2
5.95,0
6.00,1
6.05,1
6.10,1
6.15,1
6.20,0
6.25,1
6.30,1
6.35,1
6.40,1
6.45,0
6.50,0
6.55,0
6.60,0
6.65,0
6.70,3
6.75,0
6.80,0
6.85,0
6.90,0
6.95,3
7.00,0
7.05,0
7.10,1
7.15,3
7.20,1
7.25,3
7.30,0
7.35,2
7.40,1
7.45,2
7.50,1
7.55,0
7.60,0
7.65,0
7.70,0
7.75,1
7.80,0
7.85,1
7.90,2
7.95,1
8.00,0
8.05,0
8.10,0
8.15,0
8.20,1
8.25,0
8.30,0
8.35,0
8.40,0
8.45,2
8.50,0
8.55,0
8.60,0
8.65,1
8.70,0
8.75,1
8.80,1
8.85,0
8.90,0
8.95,1
9.00,0
9.05,0
9.10,1
9.15,1
