"Time","Radiation"
0.05,21
0.10,20
0.15,23
0.20,17
0.25,28
0.30,24
0.35,22
0.40,21
0.45,26
0.50,21
0.55,24
0.60,20
0.65,24
0.70,21
0.75,23
0.80,24
0.85,25
0.90,23
0.95,22
1.00,27
1.05,18
1.10,24
1.15,26
1.20,20
1.25,23
1.30,17
1.35,31
1.40,21
1.45,18
1.50,25
1.55,27
1.60,25
1.65,27
1.70,30
1.75,23
1.80,22
1.85,22
1.90,21
1.95,21
2.00,20
2.05,20
2.10,22
2.15,26
2.20,32
2.25,21
2.30,26
2.35,21
2.40,17
2.45,17
2.50,19
2.55,14
2.60,21
2.65,27
2.70,25
2.75,27
2.80,24
2.85,27
2.90,22
2.95,23
3.00,20
3.05,18
3.10,19
3.15,17
3.20,24
3.25,29
3.30,21
3.35,17
3.40,23
3.45,22
3.50,28
3.55,21
3.60,24
3.65,16
3.70,16
3.75,18
3.80,22
3.85,21
3.90,19
3.95,23
4.00,23
4.05,14
4.10,29
4.15,21
4.20,17
4.25,26
4.30,17
4.35,19
4.40,14
4.45,21
4.50,19
4.55,30
4.60,20
4.65,19
4.70,19
4.75,21
4.80,23
4.85,19
4.90,19
4.95,23
5.00,24
5.05,24
5.10,19
5.15,22
5.20,27
5.25,21
5.30,26
5.35,25
5.40,30
5.45,24
5.50,26
5.55,23
5.60,21
5.65,21
5.70,23
5.75,24
5.80,20
5.85,26
5.90,20
5.95,17
6.00,25
6.05,19
6.10,21
6.15,22
6.20,15
6.25,18
6.30,21
6.35,24
6.40,15
6.45,22
6.50,24
6.55,25
6.60,17
6.65,24
6.70,23
6.75,20
6.80,22
6.85,19
6.90,17
6.95,23
7.00,24
7.05,25
7.10,21
7.15,19
7.20,24
7.25,22
7.30,21
7.35,25
7.40,22
7.45,18
7.50,25
7.55,15
7.60,21
7.65,21
7.70,22
7.75,23
7.80,21
7.85,18
7.90,20
7.95,21
8.00,23
8.05,21
8.10,25
8.15,14
8.20,25
8.25,22
8.30,22
8.35,20
8.40,23
8.45,21
8.50,22
8.55,22
8.60,23
8.65,21
8.70,22
8.75,23
8.80,23
8.85,24
8.90,23
8.95,22
9.00,18
9.05,25
9.10,24
9.15,21
9.20,23
9.25,21
9.30,22
9.35,25
9.40,17
9.45,21
9.50,23
9.55,22
9.60,18
9.65,23
9.70,16
9.75,24
9.80,22
9.85,22
9.90,23
9.95,21
10.00,29
10.05,29
10.10,19
10.15,21
10.20,18
10.25,20
10.30,16
10.35,14
10.40,18
10.45,24
10.50,26
10.55,17
10.60,26
10.65,25
10.70,20
10.75,24
10.80,19
10.85,20
10.90,21
10.95,20
11.00,24
11.05,17
11.10,18
11.15,25
11.20,27
11.25,22
11.30,20
11.35,21
11.40,20
11.45,18
11.50,16
11.55,18
11.60,22
11.65,18
11.70,23
11.75,26
11.80,27
11.85,13
11.90,22
11.95,27
12.00,30
12.05,17
12.10,17
12.15,20
12.20,23
12.25,22
12.30,28
12.35,17
12.40,25
12.45,19
12.50,25
12.55,27
12.60,23
12.65,23
12.70,24
12.75,20
12.80,20
12.85,23
12.90,28
12.95,30
13.00,25
13.05,25
13.10,22
13.15,19
13.20,21
13.25,23
13.30,21
13.35,15
13.40,18
13.45,21
13.50,19
13.55,26
13.60,29
13.65,29
13.70,24
13.75,17
13.80,19
13.85,21
13.90,22
13.95,22
14.00,21
14.05,20
14.10,26
14.15,27
14.20,23
14.25,20
14.30,21
14.35,27
14.40,18
14.45,21
14.50,27
14.55,17
14.60,24
14.65,28
14.70,18
14.75,20
14.80,22
14.85,24
14.90,22
14.95,22
15.00,21
15.05,21
15.10,27
15.15,21
15.20,21
15.25,21
15.30,19
15.35,17
15.40,16
15.45,21
15.50,21
15.55,25
15.60,23
15.65,20
15.70,29
15.75,24
15.80,28
15.85,21
15.90,20
15.95,23
16.00,22
16.05,19
16.10,25
16.15,19
16.20,19
16.25,23
16.30,24
16.35,24
16.40,23
16.45,18
16.50,27
16.55,20
16.60,18
16.65,22
16.70,17
16.75,20
16.80,21
16.85,21
16.90,23
16.95,17
17.00,19
17.05,27
17.10,25
17.15,25
17.20,21
17.25,22
17.30,22
17.35,17
17.40,19
17.45,21
17.50,28
17.55,33
17.60,33
17.65,20
17.70,28
17.75,24
17.80,21
17.85,17
17.90,24
17.95,22
18.00,27
18.05,30
18.10,25
18.15,22
18.20,21
18.25,27
18.30,30
18.35,25
18.40,23
18.45,17
18.50,26
18.55,19
18.60,16
18.65,24
18.70,26
18.75,19
18.80,21
18.85,21
18.90,24
18.95,23
19.00,22
19.05,27
19.10,17
19.15,19
19.20,26
19.25,25
19.30,24
19.35,27
19.40,16
19.45,23
19.50,24
19.55,20
19.60,19
19.65,22
19.70,29
19.75,31
19.80,22
19.85,19
19.90,19
19.95,25
20.00,20
20.05,22
20.10,24
20.15,22
20.20,24
20.25,19
20.30,20
20.35,19
20.40,29
20.45,20
20.50,19
20.55,25
20.60,24
20.65,26
20.70,25
20.75,28
20.80,21
20.85,26
20.90,25
20.95,20
21.00,17
21.05,22
21.10,21
21.15,18
21.20,24
21.25,21
21.30,24
21.35,24
21.40,21
21.45,20
21.50,17
21.55,16
21.60,21
21.65,15
21.70,21
21.75,17
21.80,29
21.85,22
21.90,25
21.95,23
22.00,22
22.05,24
22.10,20
22.15,25
22.20,25
22.25,17
22.30,21
22.35,26
22.40,19
22.45,21
22.50,16
22.55,21
22.60,25
22.65,20
22.70,24
22.75,22
22.80,25
22.85,20
22.90,25
22.95,22
23.00,21
23.05,22
23.10,20
23.15,23
23.20,17
23.25,17
23.30,22
23.35,18
23.40,18
23.45,22
23.50,25
23.55,32
23.60,26
23.65,21
23.70,18
23.75,19
23.80,26
23.85,23
23.90,20
23.95,26
24.00,24
24.05,26
24.10,18
24.15,17
24.20,20
24.25,31
24.30,19
24.35,20
24.40,25
24.45,20
24.50,18
24.55,22
24.60,24
24.65,16
24.70,31
24.75,22
24.80,18
24.85,20
24.90,26
24.95,25
25.00,23
25.05,22
25.10,23
25.15,19
25.20,22
25.25,25
25.30,20
25.35,16
25.40,22
25.45,25
25.50,19
25.55,20
25.60,25
25.65,20
25.70,17
25.75,25
25.80,24
25.85,24
25.90,16
25.95,22
26.00,23
26.05,21
26.10,19
26.15,16
26.20,22
26.25,17
26.30,18
26.35,23
26.40,20
26.45,22
26.50,25
26.55,20
26.60,23
26.65,21
26.70,24
26.75,35
26.80,26
26.85,19
26.90,24
26.95,25
27.00,17
27.05,17
27.10,19
27.15,26
27.20,21
27.25,22
27.30,22
27.35,23
27.40,25
27.45,20
27.50,31
27.55,22
27.60,18
27.65,20
27.70,30
27.75,21
27.80,27
27.85,24
27.90,30
27.95,17
28.00,15
28.05,17
28.10,23
28.15,23
28.20,22
28.25,26
28.30,18
28.35,19
28.40,24
28.45,23
28.50,20
28.55,23
28.60,19
28.65,16
28.70,20
28.75,23
28.80,20
28.85,26
28.90,24
28.95,18
29.00,20
29.05,22
29.10,31
29.15,25
29.20,23
29.25,22
29.30,20
29.35,21
29.40,19
29.45,19
29.50,21
29.55,25
29.60,24
29.65,19
29.70,29
29.75,22
29.80,25
29.85,18
29.90,23
29.95,21
30.00,19
30.05,23
30.10,27
30.15,19
30.20,19
30.25,27
30.30,21
30.35,22
30.40,27
30.45,19
30.50,23
30.55,15
30.60,17
30.65,28
30.70,18
30.75,23
30.80,18
30.85,29
30.90,21
30.95,24
31.00,18
31.05,25
31.10,23
31.15,20
31.20,21
31.25,28
31.30,24
31.35,20
31.40,25
31.45,24
31.50,14
31.55,19
31.60,24
31.65,19
31.70,16
31.75,29
31.80,18
31.85,22
31.90,18
31.95,16
32.00,23
32.05,28
32.10,25
32.15,23
32.20,20
32.25,23
32.30,24
32.35,18
32.40,17
32.45,16
32.50,23
32.55,22
32.60,24
32.65,21
32.70,25
32.75,20
32.80,20
32.85,20
32.90,23
32.95,23
33.00,21
33.05,21
33.10,23
33.15,19
33.20,16
33.25,24
33.30,21
33.35,29
33.40,15
33.45,25
33.50,30
33.55,16
33.60,21
33.65,25
33.70,17
33.75,18
33.80,18
33.85,22
33.90,27
33.95,23
34.00,20
34.05,25
34.10,21
34.15,22
34.20,25
34.25,25
34.30,22
34.35,23
34.40,24
34.45,22
34.50,33
34.55,18
34.60,22
34.65,21
34.70,27
34.75,24
34.80,18
34.85,22
34.90,21
34.95,17
35.00,22
35.05,27
35.10,27
35.15,28
35.20,24
35.25,26
35.30,21
35.35,18
35.40,25
35.45,25
35.50,25
35.55,17
35.60,23
35.65,22
35.70,25
35.75,22
35.80,21
35.85,23
35.90,25
35.95,19
36.00,23
36.05,21
36.10,17
36.15,18
36.20,21
36.25,26
36.30,27
36.35,22
36.40,26
36.45,19
36.50,23
36.55,28
36.60,20
36.65,24
36.70,23
36.75,27
36.80,27
36.85,30
36.90,21
36.95,23
37.00,20
37.05,23
37.10,21
37.15,17
37.20,26
37.25,21
37.30,23
37.35,23
37.40,22
37.45,23
37.50,25
37.55,21
37.60,20
37.65,19
37.70,16
37.75,16
37.80,22
37.85,18
37.90,28
37.95,23
38.00,26
38.05,26
38.10,18
38.15,17
38.20,22
38.25,23
38.30,16
38.35,14
38.40,19
38.45,17
38.50,25
38.55,21
38.60,21
38.65,20
38.70,23
38.75,19
38.80,20
38.85,26
38.90,24
38.95,17
39.00,22
39.05,14
39.10,24
39.15,23
39.20,21
39.25,20
39.30,25
39.35,21
39.40,28
39.45,22
39.50,21
39.55,20
39.60,18
39.65,25
39.70,18
39.75,20
39.80,20
39.85,28
39.90,30
39.95,24
40.00,18
40.05,23
40.10,20
40.15,24
40.20,19
40.25,16
40.30,21
40.35,21
40.40,20
40.45,24
40.50,18
40.55,22
40.60,19
40.65,21
40.70,25
40.75,19
40.80,21
40.85,26
40.90,23
40.95,27
41.00,22
41.05,23
41.10,23
41.15,20
41.20,26
41.25,23
41.30,29
41.35,25
41.40,19
41.45,16
41.50,20
41.55,21
41.60,26
41.65,27
41.70,22
41.75,29
41.80,27
41.85,15
41.90,19
41.95,30
42.00,17
42.05,25
42.10,21
42.15,21
42.20,19
42.25,21
42.30,22
42.35,23
42.40,24
42.45,20
42.50,17
42.55,29
42.60,20
42.65,25
42.70,16
42.75,22
42.80,26
42.85,35
42.90,28
42.95,19
43.00,19
43.05,24
43.10,21
43.15,24
43.20,17
43.25,28
43.30,27
43.35,24
43.40,24
43.45,19
43.50,14
43.55,26
43.60,21
43.65,19
43.70,21
43.75,20
43.80,21
43.85,31
43.90,16
43.95,17
44.00,20
44.05,21
44.10,25
44.15,22
44.20,23
44.25,24
44.30,27
44.35,21
44.40,24
44.45,20
44.50,22
44.55,23
44.60,22
44.65,23
44.70,21
44.75,28
44.80,21
44.85,19
44.90,23
44.95,22
45.00,23
45.05,20
45.10,20
45.15,22
45.20,22
45.25,17
45.30,15
45.35,22
45.40,21
45.45,15
45.50,21
45.55,26
45.60,26
45.65,24
45.70,28
45.75,26
45.80,20
45.85,26
45.90,14
45.95,16
46.00,16
46.05,27
46.10,17
46.15,19
46.20,27
46.25,24
46.30,22
46.35,22
46.40,20
46.45,24
46.50,18
46.55,22
46.60,21
46.65,17
46.70,22
46.75,22
46.80,31
46.85,18
46.90,19
46.95,17
47.00,17
47.05,20
47.10,21
47.15,21
47.20,23
47.25,19
47.30,24
47.35,23
47.40,21
47.45,26
47.50,19
47.55,21
47.60,17
47.65,24
47.70,20
47.75,22
47.80,19
47.85,20
47.90,20
47.95,16
48.00,25
48.05,24
48.10,24
48.15,17
48.20,21
48.25,24
48.30,24
48.35,16
48.40,24
48.45,27
48.50,19
48.55,16
48.60,19
48.65,21
48.70,19
48.75,28
48.80,18
48.85,28
48.90,28
48.95,20
49.00,20
49.05,19
49.10,23
49.15,21
49.20,17
49.25,20
49.30,17
49.35,25
49.40,15
49.45,18
49.50,20
49.55,24
49.60,20
49.65,21
49.70,21
49.75,31
49.80,25
49.85,22
49.90,20
49.95,29
50.00,25
