"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
0.02,-0.126,0.205,2.163,0.003,0.000,0.000
0.04,-0.123,0.259,1.451,0.003,0.000,0.000
0.06,-0.115,0.284,0.452,0.003,0.000,0.000
0.08,-0.110,0.266,-0.119,0.003,0.000,0.000
0.10,-0.105,0.267,-0.166,0.003,0.000,0.000
0.12,-0.100,0.263,-0.254,0.003,0.000,0.000
0.14,-0.094,0.256,-0.270,0.003,0.000,0.001
0.16,-0.089,0.250,-0.191,0.003,0.000,0.004
0.18,-0.084,0.250,-0.151,0.003,0.000,0.018
0.20,-0.079,0.244,-0.091,0.003,0.000,0.047
0.22,-0.075,0.244,0.057,0.003,0.002,0.080
0.24,-0.070,0.249,0.049,0.003,0.005,0.049
0.26,-0.065,0.247,-0.042,0.003,0.005,-0.041
0.28,-0.060,0.246,-0.092,0.003,0.002,-0.043
0.30,-0.055,0.243,-0.113,0.003,0.001,0.055
0.32,-0.050,0.243,-0.178,0.003,0.003,0.187
0.34,-0.045,0.237,-0.239,0.003,0.011,0.240
0.36,-0.041,0.227,-0.026,0.004,0.014,0.258
0.38,-0.036,0.231,0.277,0.004,0.018,0.452
0.40,-0.032,0.252,-0.098,0.004,0.029,0.820
0.42,-0.025,0.244,-1.223,0.005,0.048,1.314
0.44,-0.021,0.193,-1.926,0.006,0.080,1.791
0.46,-0.018,0.151,-1.870,0.008,0.131,1.686
0.48,-0.015,0.119,-1.721,0.012,0.159,1.028
0.50,-0.013,0.084,-1.581,0.015,0.165,0.657
0.52,-0.012,0.053,-1.293,0.018,0.178,0.613
0.54,-0.011,0.030,-0.920,0.022,0.191,0.550
0.56,-0.011,0.016,-0.567,0.026,0.202,0.416
0.58,-0.011,0.009,-0.300,0.030,0.207,0.290
0.60,-0.011,0.007,-0.178,0.034,0.213,0.214
0.62,-0.010,0.005,-0.216,0.038,0.217,0.100
0.64,-0.010,-0.001,-0.320,0.043,0.217,0.003
0.66,-0.010,-0.008,-0.400,0.047,0.213,0.086
0.68,-0.011,-0.018,-0.421,0.051,0.220,0.197
0.70,-0.011,-0.026,-0.398,0.056,0.226,0.064
0.72,-0.012,-0.031,-0.443,0.060,0.222,-0.067
0.74,-0.012,-0.050,-0.150,0.065,0.220,-0.058
0.76,-0.014,-0.048,0.635,0.069,0.220,-0.035
0.78,-0.014,-0.018,1.095,0.074,0.220,-0.039
0.80,-0.015,0.005,1.017,0.078,0.219,-0.076
0.82,-0.014,0.034,0.324,0.082,0.217,-0.114
0.84,-0.013,0.024,-0.582,0.087,0.211,-0.020
0.86,-0.013,-0.006,-0.685,0.091,0.215,0.126
0.88,-0.013,-0.014,-0.261,0.095,0.221,0.061
0.90,-0.014,-0.011,-0.030,0.100,0.219,-0.082
0.92,-0.014,-0.010,-0.071,0.104,0.215,-0.084
0.94,-0.014,-0.015,-0.105,0.108,0.213,0.061
0.96,-0.014,-0.013,-0.223,0.113,0.215,0.286
0.98,-0.014,-0.022,-0.370,0.117,0.223,0.505
1.00,-0.015,-0.032,-0.254,0.121,0.246,0.238
1.02,-0.016,-0.045,0.366,0.127,0.242,-0.436
1.04,-0.018,-0.017,0.915,0.131,0.217,-0.610
1.06,-0.016,0.017,0.369,0.135,0.208,-0.345
1.08,-0.016,-0.001,-0.275,0.139,0.206,-0.130
1.10,-0.017,-0.011,-0.199,0.144,0.206,-0.028
1.12,-0.017,-0.009,-0.036,0.148,0.206,-0.010
1.14,-0.017,-0.008,-0.040,0.152,0.206,-0.030
1.16,-0.017,-0.009,-0.133,0.156,0.205,-0.065
1.18,-0.017,-0.014,-0.174,0.160,0.204,-0.102
1.20,-0.018,-0.021,-0.026,0.164,0.198,-0.026
1.22,-0.018,-0.014,0.039,0.168,0.203,0.047
1.24,-0.018,-0.012,-0.222,0.172,0.203,-0.008
1.26,-0.019,-0.019,-0.620,0.176,0.199,0.041
1.28,-0.019,-0.046,-0.551,0.180,0.207,0.006
1.30,-0.021,-0.056,0.204,0.184,0.203,-0.163
1.32,-0.022,-0.032,0.736,0.188,0.196,-0.152
1.34,-0.022,-0.013,0.638,0.192,0.194,-0.029
1.36,-0.022,-0.005,0.368,0.196,0.197,0.009
1.38,-0.022,0.001,0.094,0.200,0.197,-0.057
1.40,-0.022,-0.003,-0.037,0.204,0.194,-0.085
1.42,-0.022,-0.010,0.247,0.208,0.192,-0.065
1.44,-0.022,0.003,0.638,0.212,0.192,-0.068
1.46,-0.022,0.031,0.358,0.215,0.191,-0.102
1.48,-0.021,0.029,-0.425,0.219,0.187,-0.099
1.50,-0.021,0.002,-0.724,0.223,0.186,-0.050
1.52,-0.021,-0.010,-0.570,0.227,0.185,-0.020
1.54,-0.021,-0.018,-0.443,0.230,0.185,-0.010
1.56,-0.022,-0.021,-0.550,0.234,0.185,-0.031
1.58,-0.022,-0.045,-0.419,0.238,0.184,-0.068
1.60,-0.024,-0.051,0.288,0.241,0.183,-0.121
1.62,-0.024,-0.027,0.694,0.245,0.177,-0.076
1.64,-0.025,-0.011,0.535,0.248,0.181,-0.044
1.66,-0.025,-0.004,0.220,0.252,0.177,-0.068
1.68,-0.025,-0.006,0.016,0.255,0.173,0.100
1.70,-0.025,-0.006,-0.010,0.259,0.183,0.183
1.72,-0.025,-0.006,0.000,0.263,0.187,0.000
1.74,-0.025,-0.006,-0.002,0.267,0.183,-0.184
1.76,-0.025,-0.005,-0.079,0.270,0.173,-0.108
1.78,-0.025,-0.011,-0.090,0.273,0.177,0.024
1.80,-0.026,-0.011,0.046,0.277,0.180,-0.086
1.82,-0.026,-0.008,0.125,0.281,0.173,-0.186
1.84,-0.026,-0.005,0.124,0.284,0.170,-0.179
1.86,-0.026,0.000,-0.017,0.288,0.164,-0.062
1.88,-0.026,-0.006,-0.152,0.291,0.168,0.023
1.90,-0.026,-0.010,-0.073,0.294,0.168,-0.049
1.92,-0.026,-0.009,0.070,0.297,0.163,-0.007
1.94,-0.027,-0.008,0.221,0.301,0.168,0.030
1.96,-0.027,0.000,0.270,0.304,0.167,-0.015
1.98,-0.027,0.016,-0.267,0.307,0.168,-0.084
2.00,-0.025,-0.009,-0.818,0.311,0.163,-0.153
2.02,-0.027,-0.038,-0.398,0.314,0.157,-0.017
2.04,-0.028,-0.029,0.222,0.317,0.163,0.120
2.06,-0.028,-0.018,0.359,0.321,0.165,0.105
2.08,-0.028,-0.010,0.238,0.324,0.169,-0.013
2.10,-0.028,-0.010,0.132,0.327,0.167,-0.192
2.12,-0.029,-0.005,0.031,0.331,0.157,-0.168
2.14,-0.028,-0.008,-0.089,0.333,0.156,0.018
2.16,-0.029,-0.011,-0.053,0.337,0.163,-0.021
2.18,-0.029,-0.011,0.055,0.340,0.157,-0.157
2.20,-0.030,-0.008,0.101,0.343,0.151,-0.066
