"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
0.02,-0.244,0.444,0.230,-0.005,-0.003,-0.033
0.04,-0.235,0.450,0.181,-0.005,-0.005,0.047
0.06,-0.226,0.450,0.244,-0.005,-0.003,0.144
0.08,-0.217,0.458,0.327,-0.005,0.003,0.131
0.10,-0.207,0.463,0.372,-0.005,0.005,-0.004
0.12,-0.199,0.484,-0.018,-0.005,0.002,-0.077
0.14,-0.187,0.462,-0.402,-0.005,0.000,-0.075
0.16,-0.181,0.455,-0.205,-0.005,-0.001,-0.065
0.18,-0.169,0.454,0.024,-0.005,-0.004,-0.001
0.20,-0.163,0.454,0.328,-0.005,-0.001,0.059
0.22,-0.151,0.480,0.040,-0.005,0.000,0.049
0.24,-0.143,0.457,-0.340,-0.005,0.001,0.034
0.26,-0.134,0.454,-0.219,-0.005,0.003,-0.030
0.28,-0.125,0.451,-0.134,-0.005,-0.002,-0.016
0.30,-0.115,0.448,0.068,-0.005,0.000,0.064
0.32,-0.107,0.450,0.369,-0.005,0.003,0.014
0.34,-0.098,0.462,0.618,-0.005,0.001,-0.050
0.36,-0.089,0.487,0.315,-0.005,0.000,-0.055
0.38,-0.078,0.486,-0.468,-0.005,-0.001,-0.036
0.40,-0.069,0.457,-0.751,-0.005,-0.003,0.047
0.42,-0.060,0.444,-0.462,-0.005,0.001,0.129
0.44,-0.051,0.439,-0.114,-0.005,0.006,0.096
0.46,-0.042,0.441,0.058,-0.004,-0.001,0.413
0.48,-0.033,0.445,-0.153,-0.005,0.009,1.422
0.50,-0.025,0.460,-1.481,-0.004,0.045,2.817
0.52,-0.013,0.399,-3.262,-0.004,0.134,3.495
0.54,-0.008,0.290,-3.235,0.001,0.229,2.179
0.56,-0.003,0.242,-1.859,0.007,0.221,0.732
0.58,0.001,0.227,-0.819,0.009,0.228,0.512
0.60,0.006,0.223,-0.422,0.016,0.252,-0.004
0.62,0.010,0.214,-0.335,0.020,0.229,-0.474
0.64,0.014,0.208,-0.215,0.024,0.221,-0.417
0.66,0.018,0.205,-0.092,0.029,0.212,-0.292
0.68,0.023,0.204,0.043,0.033,0.207,-0.031
0.70,0.026,0.209,0.082,0.037,0.214,0.066
0.72,0.031,0.210,0.008,0.042,0.213,-0.021
0.74,0.035,0.205,0.113,0.045,0.212,-0.074
0.76,0.039,0.212,0.342,0.050,0.210,-0.093
0.78,0.043,0.220,0.521,0.054,0.204,0.119
0.80,0.048,0.231,0.686,0.058,0.211,0.483
0.82,0.052,0.258,0.351,0.062,0.226,0.669
0.84,0.059,0.255,-0.435,0.067,0.250,0.251
0.86,0.063,0.229,-0.735,0.073,0.244,-0.498
0.88,0.068,0.218,-0.608,0.077,0.217,-0.670
0.90,0.072,0.204,-0.368,0.081,0.208,-0.405
0.92,0.076,0.202,-0.114,0.085,0.204,-0.199
0.94,0.080,0.206,-0.146,0.089,0.201,-0.047
0.96,0.084,0.199,-0.284,0.093,0.202,0.074
0.98,0.088,0.191,-0.308,0.097,0.208,0.027
1.00,0.091,0.188,-0.405,0.102,0.205,-0.112
1.02,0.095,0.180,-0.641,0.106,0.200,-0.129
1.04,0.099,0.152,-0.423,0.110,0.199,-0.077
1.06,0.101,0.152,0.225,0.114,0.196,0.033
1.08,0.105,0.176,0.225,0.117,0.202,0.074
1.10,0.108,0.173,-0.299,0.122,0.200,0.047
1.12,0.112,0.159,-0.553,0.125,0.202,0.078
1.14,0.115,0.135,-0.068,0.130,0.207,-0.019
1.16,0.116,0.145,0.933,0.134,0.201,-0.131
1.18,0.120,0.186,1.320,0.138,0.199,-0.140
