"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
0.02,-0.147,0.451,-0.212,0.226,-0.240,-0.237
0.04,-0.138,0.448,-0.245,0.222,-0.246,-0.124
0.06,-0.129,0.441,-0.222,0.216,-0.249,0.046
0.08,-0.121,0.436,-0.061,0.211,-0.243,0.141
0.10,-0.112,0.438,0.159,0.207,-0.240,0.114
0.12,-0.103,0.442,0.401,0.202,-0.239,0.098
0.14,-0.094,0.451,0.667,0.197,-0.236,0.051
0.16,-0.086,0.479,0.421,0.193,-0.237,0.021
0.18,-0.075,0.480,-0.327,0.188,-0.235,-0.002
0.20,-0.066,0.455,-0.559,0.183,-0.236,-0.086
0.22,-0.057,0.445,-0.242,0.178,-0.241,-0.064
0.24,-0.048,0.444,0.163,0.173,-0.238,-0.059
0.26,-0.039,0.466,0.024,0.169,-0.242,-0.116
0.28,-0.028,0.443,-0.092,0.164,-0.247,0.011
0.30,-0.022,0.447,0.342,0.159,-0.241,0.132
0.32,-0.011,0.475,0.026,0.154,-0.237,0.061
0.34,-0.002,0.450,-0.302,0.149,-0.239,-0.015
0.36,0.006,0.446,0.065,0.145,-0.240,-0.007
0.38,0.015,0.451,0.462,0.140,-0.240,0.033
0.40,0.024,0.478,0.273,0.135,-0.239,0.070
0.42,0.035,0.476,-0.526,0.130,-0.235,-0.023
0.44,0.044,0.442,-0.649,0.126,-0.236,-0.240
0.46,0.052,0.436,-0.150,0.121,-0.244,-0.375
0.48,0.061,0.439,0.119,0.116,-0.265,0.267
0.50,0.069,0.462,-0.761,0.110,-0.253,2.024
0.52,0.080,0.441,-3.271,0.105,-0.192,4.277
0.54,0.088,0.335,-6.016,0.101,-0.087,6.608
0.56,0.094,0.179,-7.594,0.100,0.089,7.874
0.58,0.096,-0.004,-7.236,0.105,0.275,6.744
0.60,0.093,-0.140,-5.248,0.113,0.383,4.219
0.62,0.089,-0.211,-3.156,0.121,0.436,1.862
0.64,0.085,-0.260,-1.354,0.131,0.446,0.163
0.66,0.078,-0.264,0.177,0.139,0.425,-0.507
0.68,0.074,-0.233,0.665,0.148,0.413,-0.448
0.70,0.069,-0.223,0.402,0.156,0.404,-0.166
0.72,0.065,-0.220,0.151,0.164,0.409,0.039
0.74,0.060,-0.220,0.050,0.172,0.410,0.036
