"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
0.02,-0.450,0.357,0.081,-0.008,0.001,0.046
0.04,-0.443,0.359,0.079,-0.008,0.002,0.040
0.06,-0.436,0.362,0.041,-0.008,0.004,-0.007
0.08,-0.428,0.362,-0.041,-0.008,0.001,-0.048
0.10,-0.421,0.359,-0.071,-0.008,0.000,-0.018
0.12,-0.414,0.358,-0.064,-0.008,0.000,0.013
0.14,-0.407,0.359,-0.152,-0.008,0.001,0.027
0.16,-0.399,0.351,-0.228,-0.008,0.003,-0.047
0.18,-0.393,0.347,-0.226,-0.008,0.000,-0.125
0.20,-0.386,0.346,-0.354,-0.008,-0.005,-0.065
0.22,-0.379,0.337,-0.596,-0.008,-0.005,0.065
0.24,-0.372,0.311,-0.318,-0.008,0.000,0.125
0.26,-0.367,0.312,0.512,-0.008,0.003,0.047
0.28,-0.360,0.343,0.861,-0.008,0.001,-0.027
0.30,-0.353,0.356,0.735,-0.008,0.000,-0.013
0.32,-0.346,0.367,0.693,-0.008,0.000,0.017
0.34,-0.339,0.390,0.337,-0.008,0.001,0.045
0.36,-0.329,0.388,-0.301,-0.008,0.004,-0.001
0.38,-0.323,0.367,-0.467,-0.008,0.001,-0.049
0.40,-0.315,0.363,-0.316,-0.008,0.000,-0.035
0.42,-0.308,0.357,-0.224,-0.008,0.000,-0.030
0.44,-0.301,0.355,-0.182,-0.008,0.000,-0.036
0.46,-0.294,0.350,-0.150,-0.008,-0.001,-0.055
0.48,-0.287,0.347,-0.021,-0.008,-0.004,-0.029
0.50,-0.280,0.350,0.080,-0.008,-0.002,-0.009
0.52,-0.273,0.353,0.044,-0.008,-0.003,-0.035
0.54,-0.266,0.351,0.006,-0.008,-0.007,0.075
0.56,-0.259,0.351,0.059,-0.009,0.000,0.182
0.58,-0.252,0.354,0.093,-0.008,0.006,0.035
0.60,-0.245,0.354,0.136,-0.008,0.001,-0.100
0.62,-0.238,0.361,0.089,-0.008,-0.003,-0.025
0.64,-0.230,0.363,-0.184,-0.008,0.000,0.070
0.66,-0.223,0.352,-0.378,-0.008,0.003,0.037
0.68,-0.216,0.344,-0.368,-0.008,0.002,-0.021
0.70,-0.209,0.337,-0.272,-0.008,0.001,-0.027
0.72,-0.203,0.332,-0.083,-0.008,0.002,-0.094
0.74,-0.196,0.332,0.169,-0.008,-0.004,-0.096
0.76,-0.190,0.338,0.448,-0.008,-0.005,0.030
0.78,-0.183,0.351,0.663,-0.008,-0.001,0.094
0.80,-0.176,0.365,0.754,-0.008,0.001,0.077
0.82,-0.168,0.391,0.359,-0.008,0.003,-0.014
0.84,-0.159,0.389,-0.459,-0.008,0.000,-0.089
0.86,-0.152,0.361,-0.752,-0.008,-0.003,-0.017
0.88,-0.145,0.348,-0.474,-0.008,-0.001,0.061
0.90,-0.139,0.343,-0.195,-0.008,0.001,0.058
0.92,-0.132,0.343,-0.048,-0.008,0.003,-0.034
0.94,-0.125,0.343,-0.009,-0.008,0.000,-0.132
0.96,-0.118,0.343,-0.008,-0.008,-0.005,-0.076
0.98,-0.111,0.343,-0.036,-0.008,-0.005,0.074
1.00,-0.104,0.342,-0.085,-0.009,-0.002,0.216
1.02,-0.097,0.340,-0.081,-0.009,0.008,0.133
1.04,-0.090,0.334,0.146,-0.008,0.008,-0.137
1.06,-0.084,0.339,0.585,-0.008,-0.003,-0.176
1.08,-0.078,0.369,0.471,-0.008,-0.006,0.075
1.10,-0.069,0.373,-0.344,-0.009,0.003,0.211
1.12,-0.062,0.346,-0.795,-0.008,0.008,0.094
1.14,-0.055,0.331,-0.793,-0.008,0.005,0.074
1.16,-0.049,0.319,-0.958,-0.008,0.008,0.242
1.18,-0.042,0.299,-1.490,-0.008,0.014,0.493
1.20,-0.037,0.268,-2.506,-0.008,0.023,0.931
1.22,-0.031,0.206,-3.806,-0.007,0.051,1.355
1.24,-0.028,0.105,-4.508,-0.006,0.085,1.427
1.26,-0.027,0.005,-4.121,-0.004,0.111,1.268
1.28,-0.028,-0.071,-3.080,-0.001,0.138,0.934
1.30,-0.030,-0.119,-1.911,0.002,0.152,0.459
1.32,-0.033,-0.141,-1.040,0.005,0.153,0.147
1.34,-0.036,-0.154,-0.542,0.008,0.155,-0.003
1.36,-0.039,-0.159,-0.303,0.011,0.151,-0.037
1.38,-0.042,-0.164,-0.218,0.014,0.149,0.118
1.40,-0.046,-0.168,-0.139,0.017,0.156,0.287
1.42,-0.049,-0.167,-0.217,0.020,0.163,0.358
1.44,-0.053,-0.173,-0.457,0.024,0.168,0.463
1.46,-0.056,-0.184,-0.704,0.027,0.188,0.257
1.48,-0.059,-0.212,-0.434,0.032,0.188,-0.336
1.50,-0.065,-0.215,0.414,0.035,0.166,-0.562
1.52,-0.069,-0.184,0.739,0.038,0.157,-0.412
1.54,-0.072,-0.171,0.423,0.041,0.149,-0.175
1.56,-0.075,-0.170,0.161,0.044,0.151,0.024
1.58,-0.079,-0.170,0.100,0.047,0.154,0.013
1.60,-0.082,-0.166,0.088,0.050,0.152,-0.023
1.62,-0.086,-0.165,0.047,0.053,0.152,-0.001
1.64,-0.089,-0.165,0.014,0.056,0.152,0.019
1.66,-0.092,-0.165,-0.014,0.059,0.154,-0.034
1.68,-0.095,-0.165,-0.042,0.062,0.151,-0.094
1.70,-0.099,-0.166,-0.061,0.065,0.147,-0.018
1.72,-0.102,-0.169,0.002,0.068,0.150,0.058
1.74,-0.106,-0.168,0.147,0.071,0.152,0.044
1.76,-0.109,-0.161,0.178,0.074,0.154,-0.064
1.78,-0.112,-0.159,0.097,0.078,0.149,-0.174
1.80,-0.115,-0.158,0.037,0.080,0.143,-0.084
1.82,-0.118,-0.158,0.011,0.083,0.145,0.060
1.84,-0.121,-0.158,0.016,0.086,0.149,0.043
1.86,-0.125,-0.157,0.032,0.089,0.149,-0.070
1.88,-0.128,-0.157,0.048,0.092,0.144,-0.129
1.90,-0.131,-0.154,-0.004,0.095,0.141,-0.065
1.92,-0.134,-0.157,-0.066,0.098,0.143,-0.020
1.94,-0.137,-0.158,-0.082,0.101,0.142,-0.070
1.96,-0.140,-0.159,-0.121,0.103,0.139,-0.084
1.98,-0.143,-0.163,-0.181,0.106,0.138,-0.047
2.00,-0.147,-0.165,-0.296,0.109,0.137,-0.014
2.02,-0.150,-0.170,-0.521,0.112,0.137,0.014
2.04,-0.153,-0.194,-0.341,0.114,0.138,0.043
2.06,-0.158,-0.197,0.420,0.117,0.139,0.066
2.08,-0.162,-0.171,0.927,0.120,0.142,0.020
2.10,-0.165,-0.151,0.971,0.123,0.141,-0.082
2.12,-0.168,-0.131,0.741,0.126,0.135,-0.048
2.14,-0.170,-0.109,-0.102,0.128,0.138,0.053
2.16,-0.171,-0.124,-1.286,0.131,0.141,0.032
2.18,-0.174,-0.186,-1.232,0.134,0.139,0.014
2.20,-0.180,-0.201,0.115,0.137,0.139,0.080
2.22,-0.183,-0.169,0.979,0.139,0.142,0.174
2.24,-0.186,-0.140,0.790,0.142,0.145,0.300
2.26,-0.188,-0.129,0.085,0.145,0.151,0.495
2.28,-0.191,-0.143,-0.348,0.148,0.175,0.215
2.30,-0.194,-0.156,-0.145,0.153,0.170,-0.518
2.32,-0.197,-0.152,0.259,0.155,0.140,-0.619
2.34,-0.201,-0.139,0.348,0.158,0.135,-0.233
2.36,-0.203,-0.128,-0.032,0.160,0.138,-0.114
2.38,-0.205,-0.140,-0.412,0.163,0.135,-0.192
2.40,-0.208,-0.156,-0.265,0.166,0.127,-0.165
2.42,-0.212,-0.157,0.186,0.168,0.126,-0.031
2.44,-0.215,-0.144,0.404,0.171,0.128,0.008
2.46,-0.218,-0.130,0.109,0.174,0.128,-0.056
2.48,-0.220,-0.138,-0.246,0.176,0.125,-0.081
2.50,-0.223,-0.150,-0.147,0.179,0.124,-0.047
2.52,-0.226,-0.148,0.137,0.181,0.123,-0.018
2.54,-0.229,-0.139,0.228,0.183,0.123,-0.004
2.56,-0.232,-0.134,0.092,0.186,0.123,-0.004
2.58,-0.234,-0.136,-0.038,0.188,0.123,-0.017
2.60,-0.237,-0.138,-0.060,0.191,0.123,-0.043
2.62,-0.240,-0.141,0.007,0.193,0.122,-0.062
2.64,-0.243,-0.138,0.079,0.196,0.119,-0.002
2.66,-0.245,-0.135,0.026,0.198,0.120,0.128
2.68,-0.248,-0.138,0.032,0.200,0.127,0.128
2.70,-0.251,-0.133,0.040,0.203,0.128,-0.002
2.72,-0.253,-0.134,-0.057,0.206,0.125,-0.063
2.74,-0.256,-0.139,0.001,0.208,0.124,-0.049
2.76,-0.259,-0.136,0.153,0.211,0.123,-0.047
2.78,-0.262,-0.131,0.210,0.213,0.123,-0.065
2.80,-0.264,-0.125,0.153,0.216,0.121,-0.085
2.82,-0.267,-0.124,0.039,0.218,0.116,0.016
2.84,-0.269,-0.124,-0.056,0.220,0.122,0.109
2.86,-0.272,-0.126,-0.127,0.223,0.125,-0.003
2.88,-0.274,-0.132,-0.062,0.225,0.120,-0.069
2.90,-0.277,-0.130,0.065,0.228,0.121,-0.075
2.92,-0.279,-0.127,0.064,0.230,0.118,-0.078
2.94,-0.282,-0.128,0.061,0.232,0.117,-0.028
2.96,-0.284,-0.125,0.069,0.235,0.117,-0.003
2.98,-0.287,-0.124,0.032,0.237,0.117,-0.008
3.00,-0.289,-0.123,-0.003,0.239,0.119,-0.113
3.02,-0.292,-0.124,-0.043,0.242,0.112,-0.176
3.04,-0.294,-0.125,-0.079,0.244,0.109,-0.122
3.06,-0.297,-0.128,-0.048,0.246,0.106,-0.035
3.08,-0.300,-0.128,0.048,0.248,0.109,0.007
3.10,-0.302,-0.125,0.080,0.251,0.111,-0.119
3.12,-0.305,-0.124,0.050,0.253,0.102,-0.147
3.14,-0.307,-0.123,0.036,0.255,0.102,-0.066
3.16,-0.309,-0.123,0.050,0.257,0.101,-0.067
3.18,-0.312,-0.122,0.081,0.259,0.099,-0.035
3.20,-0.314,-0.119,0.052,0.261,0.100,-0.012
3.22,-0.317,-0.119,-0.027,0.263,0.098,0.026
3.24,-0.319,-0.122,-0.018,0.264,0.099,0.121
3.26,-0.322,-0.121,0.069,0.267,0.106,0.067
3.28,-0.324,-0.117,0.097,0.269,0.106,-0.128
3.30,-0.326,-0.114,-0.001,0.271,0.098,-0.190
3.32,-0.328,-0.119,-0.030,0.273,0.093,-0.042
3.34,-0.331,-0.117,0.016,0.275,0.096,0.114
3.36,-0.333,-0.117,-0.041,0.276,0.101,0.138
3.38,-0.336,-0.117,-0.172,0.279,0.103,0.096
3.40,-0.338,-0.120,-0.390,0.281,0.104,0.073
3.42,-0.340,-0.140,-0.251,0.283,0.107,0.019
3.44,-0.344,-0.140,0.309,0.285,0.104,-0.020
3.46,-0.346,-0.121,0.578,0.287,0.104,-0.002
3.48,-0.348,-0.108,0.409,0.289,0.106,-0.061
3.50,-0.350,-0.104,0.147,0.291,0.103,-0.128
3.52,-0.353,-0.104,-0.010,0.293,0.098,-0.062
3.54,-0.354,-0.107,-0.006,0.295,0.098,0.080
3.56,-0.357,-0.107,0.106,0.297,0.103,0.156
3.58,-0.359,-0.101,0.132,0.299,0.107,0.091
3.60,-0.361,-0.102,0.211,0.301,0.108,-0.048
3.62,-0.363,-0.098,0.504,0.304,0.104,-0.123
3.64,-0.365,-0.084,0.806,0.306,0.102,-0.130
3.66,-0.367,-0.052,0.477,0.308,0.098,-0.085
3.68,-0.366,-0.051,-0.434,0.309,0.098,-0.006
3.70,-0.368,-0.083,-0.762,0.312,0.100,-0.019
3.72,-0.370,-0.094,-0.495,0.314,0.097,-0.053
3.74,-0.372,-0.101,-0.195,0.315,0.096,-0.040
3.76,-0.374,-0.101,0.047,0.317,0.096,-0.051
3.78,-0.376,-0.096,0.127,0.319,0.095,-0.100
3.80,-0.378,-0.093,0.061,0.321,0.093,-0.179
3.82,-0.380,-0.095,0.002,0.323,0.086,-0.151
3.84,-0.382,-0.095,0.023,0.325,0.085,-0.024
3.86,-0.384,-0.092,0.000,0.326,0.087,-0.007
3.88,-0.385,-0.095,-0.022,0.328,0.087,-0.102
3.90,-0.387,-0.095,0.005,0.330,0.082,-0.162
3.92,-0.389,-0.093,-0.029,0.331,0.078,-0.101
3.94,-0.391,-0.096,-0.052,0.333,0.077,0.001
3.96,-0.393,-0.098,0.052,0.334,0.080,0.012
3.98,-0.395,-0.092,0.103,0.336,0.080,-0.054
4.00,-0.397,-0.091,0.046,0.338,0.075,-0.001
4.02,-0.399,-0.093,0.065,0.339,0.080,0.050
4.04,-0.401,-0.089,0.107,0.341,0.080,-0.034
4.06,-0.402,-0.086,0.050,0.342,0.077,-0.068
4.08,-0.404,-0.088,0.010,0.344,0.076,-0.040
4.10,-0.406,-0.087,0.034,0.345,0.075,0.001
4.12,-0.407,-0.085,-0.008,0.347,0.076,0.043
4.14,-0.409,-0.086,-0.110,0.348,0.077,0.079
4.16,-0.411,-0.092,-0.064,0.350,0.080,0.048
4.18,-0.413,-0.092,0.133,0.352,0.080,-0.048
4.20,-0.415,-0.084,0.215,0.353,0.077,-0.077
4.22,-0.416,-0.079,0.127,0.355,0.076,-0.032
4.24,-0.418,-0.080,0.070,0.356,0.076,0.014
4.26,-0.419,-0.079,0.121,0.358,0.077,0.048
4.28,-0.421,-0.073,0.077,0.359,0.079,0.015
4.30,-0.422,-0.075,-0.037,0.361,0.077,-0.013
4.32,-0.424,-0.076,-0.107,0.362,0.077,0.034
4.34,-0.425,-0.079,-0.171,0.364,0.080,0.033
4.36,-0.427,-0.085,-0.099,0.366,0.078,0.036
4.38,-0.429,-0.085,0.096,0.367,0.081,0.052
4.40,-0.430,-0.079,0.160,0.369,0.081,0.030
4.42,-0.432,-0.076,0.093,0.370,0.080,0.073
4.44,-0.433,-0.075,0.037,0.372,0.086,0.023
4.46,-0.435,-0.075,0.010,0.374,0.085,-0.240
4.48,-0.437,-0.075,0.012,0.376,0.076,-0.490
4.50,-0.438,-0.075,0.011,0.377,0.066,-0.653
4.52,-0.440,-0.075,-0.013,0.379,0.041,-0.370
4.54,-0.441,-0.074,-0.112,0.378,0.041,0.345
4.56,-0.442,-0.080,-0.145,0.380,0.065,0.590
4.58,-0.444,-0.084,0.016,0.381,0.074,0.370
4.60,-0.446,-0.078,0.114,0.383,0.079,0.104
4.62,-0.447,-0.076,0.083,0.384,0.076,-0.087
4.64,-0.449,-0.075,0.076,0.386,0.074,-0.158
4.66,-0.450,-0.075,0.179,0.387,0.069,-0.159
4.68,-0.452,-0.071,0.408,0.388,0.065,-0.043
4.70,-0.453,-0.060,0.611,0.390,0.068,0.039
4.72,-0.455,-0.036,0.304,0.391,0.069,0.011
4.74,-0.454,-0.039,-0.385,0.393,0.071,-0.125
4.76,-0.456,-0.063,-0.549,0.394,0.063,-0.247
4.78,-0.457,-0.069,-0.288,0.395,0.058,-0.312
4.80,-0.458,-0.074,0.062,0.396,0.055,-0.550
4.82,-0.460,-0.070,0.615,0.398,0.041,-0.877
4.84,-0.461,-0.054,1.488,0.399,0.006,-0.540
4.86,-0.463,-0.013,7.146,0.397,0.005,0.392
4.88,-0.461,0.038,35.113,0.398,0.038,0.606
4.90,-0.463,0.160,154.094,0.399,0.044,0.062
4.92,-0.461,3.553,389.798,0.400,0.039,-0.532
4.94,-0.438,12.831,683.651,0.401,0.024,-1.085
4.96,-0.429,40.721,524.830,0.402,-0.017,-0.990
4.98,1.775,44.547,-92.424,0.399,-0.031,-0.243
5.00,1.777,24.593,-600.565,0.400,-0.012,0.405
