"Time","Force"
-0.02490,-0.03
-0.02460,-0.03
-0.02430,-0.03
-0.02400,-0.03
-0.02370,-0.03
-0.02340,-0.03
-0.02310,-0.03
-0.02280,-0.03
-0.02250,-0.03
-0.02220,-0.03
-0.02190,0.01
-0.02160,0.01
-0.02130,-0.03
-0.02100,-0.03
-0.02070,-0.03
-0.02040,-0.03
-0.02010,-0.03
-0.01980,-0.03
-0.01950,-0.03
-0.01920,-0.03
-0.01890,-0.03
-0.01860,-0.03
-0.01830,-0.03
-0.01800,-0.03
-0.01770,-0.03
-0.01740,-0.03
-0.01710,0.01
-0.01680,-0.03
-0.01650,-0.03
-0.01620,0.01
-0.01590,-0.03
-0.01560,-0.03
-0.01530,-0.03
-0.01500,0.01
-0.01470,-0.03
-0.01440,-0.06
-0.01410,-0.03
-0.01380,-0.03
-0.01350,-0.03
-0.01320,-0.03
-0.01290,-0.03
-0.01260,-0.03
-0.01230,-0.03
-0.01200,-0.03
-0.01170,-0.03
-0.01140,-0.03
-0.01110,-0.03
-0.01080,-0.03
-0.01050,-0.03
-0.01020,-0.06
-0.00990,-0.03
-0.00960,-0.03
-0.00930,-0.03
-0.00900,-0.03
-0.00870,-0.03
-0.00840,-0.03
-0.00810,-0.03
-0.00780,-0.03
-0.00750,-0.03
-0.00720,-0.03
-0.00690,-0.03
-0.00660,-0.03
-0.00630,-0.03
-0.00600,-0.03
-0.00570,-0.03
-0.00540,-0.03
-0.00510,-0.03
-0.00480,-0.03
-0.00450,-0.03
-0.00420,-0.03
-0.00390,-0.03
-0.00360,-0.03
-0.00330,0.01
-0.00300,-0.03
-0.00270,-0.03
-0.00240,-0.03
-0.00210,-0.03
-0.00180,0.01
-0.00150,-0.03
-0.00120,-0.03
-0.00090,-0.03
-0.00060,-0.03
-0.00030,0.01
0.00000,0.39
0.00030,1.24
0.00060,2.75
0.00090,4.84
0.00120,7.44
0.00150,10.45
0.00180,13.61
0.00210,16.62
0.00240,19.36
0.00270,21.69
0.00300,23.47
0.00330,24.70
0.00360,25.35
0.00390,25.63
0.00420,25.52
0.00450,25.25
0.00480,24.87
0.00510,24.46
0.00540,24.08
0.00570,23.84
0.00600,23.61
0.00630,23.43
0.00660,23.26
0.00690,23.13
0.00720,22.95
0.00750,22.75
0.00780,22.44
0.00810,22.10
0.00840,21.72
0.00870,21.21
0.00900,20.66
0.00930,19.98
0.00960,19.22
0.00990,18.43
0.01020,17.54
0.01050,16.55
0.01080,15.59
0.01110,14.56
0.01140,13.54
0.01170,12.54
0.01200,11.62
0.01230,10.73
0.01260,9.87
0.01290,9.08
0.01320,8.26
0.01350,7.58
0.01380,6.89
0.01410,6.28
0.01440,5.69
0.01470,5.18
0.01500,4.70
0.01530,4.22
0.01560,3.78
0.01590,3.40
0.01620,3.06
0.01650,2.75
0.01680,2.44
0.01710,2.17
0.01740,1.96
0.01770,1.79
0.01800,1.58
0.01830,1.41
0.01860,1.28
0.01890,1.17
0.01920,1.04
0.01950,0.90
0.01980,0.80
0.02010,0.73
0.02040,0.66
0.02070,0.59
0.02100,0.52
0.02130,0.49
0.02160,0.45
0.02190,0.39
0.02220,0.35
0.02250,0.28
0.02280,0.28
0.02310,0.25
0.02340,0.25
0.02370,0.21
0.02400,0.21
0.02430,0.18
0.02460,0.15
0.02490,0.11
0.02520,0.11
0.02550,0.11
0.02580,0.08
0.02610,0.08
0.02640,0.08
0.02670,0.08
0.02700,0.08
0.02730,0.08
0.02760,0.04
0.02790,0.04
0.02820,0.04
0.02850,0.04
0.02880,0.04
0.02910,0.01
0.02940,0.04
0.02970,0.01
0.03000,0.01
0.03030,0.01
0.03060,0.04
0.03090,0.01
0.03120,-0.03
0.03150,-0.03
0.03180,0.01
0.03210,0.04
0.03240,0.01
0.03270,-0.03
0.03300,0.01
0.03330,0.01
0.03360,0.01
0.03390,-0.03
0.03420,-0.03
0.03450,-0.03
0.03480,0.01
0.03510,0.01
0.03540,-0.03
0.03570,-0.03
