"Time","Position","Velocity","Acceleration","Time","Position","Velocity"
0.025,0.014,-0.133,-0.390,0.025,0.220365612,0.006
0.050,0.011,-0.132,-0.794,0.05,0.22044897,0.009
0.075,0.009,-0.174,-0.928,0.075,0.220699046,0.014
0.100,0.002,-0.195,-0.445,0.1,0.22111584,0.020
0.125,-0.001,-0.198,0.214,0.125,0.22169935,0.027
0.150,-0.008,-0.194,1.215,0.15,0.222449578,0.033
0.175,-0.012,-0.130,1.925,0.175,0.223366523,0.040
0.200,-0.014,-0.080,2.011,0.2,0.224450185,0.047
0.225,-0.016,-0.033,2.107,0.225,0.225700565,0.053
0.250,-0.016,0.023,2.241,0.25,0.227117662,0.060
0.275,-0.015,0.082,2.244,0.275,0.228701476,0.067
0.300,-0.012,0.138,2.047,0.3,0.230452008,0.073
0.325,-0.008,0.200,1.260,0.325,0.232369257,0.080
0.350,-0.001,0.205,0.217,0.35,0.234453223,0.087
0.375,0.002,0.202,-0.605,0.375,0.236703906,0.093
0.400,0.009,0.188,-1.784,0.4,0.239121307,0.100
0.425,0.014,0.101,-2.440,0.425,0.241705425,0.107
0.450,0.014,0.041,-2.138,0.45,0.24445626,0.113
0.475,0.015,0.002,-1.970,0.475,0.247373813,0.120
0.500,0.014,-0.057,-1.801,0.5,0.250458083,0.127
0.525,0.011,-0.091,-1.575,0.525,0.25370907,0.133
0.550,0.010,-0.130,-1.515,0.55,0.257126774,0.140
0.575,0.005,-0.174,-1.162,0.575,0.260711196,0.147
0.600,0.001,-0.192,-0.569,0.6,0.264462335,0.153
0.625,-0.004,-0.212,0.432,0.625,0.268380192,0.160
0.650,-0.011,-0.181,1.765,0.65,0.272464765,0.167
0.675,-0.014,-0.108,2.501,0.675,0.276716056,0.173
0.700,-0.016,-0.041,2.623,0.7,0.281134064,0.180
0.725,-0.016,0.022,2.592,0.725,0.28571879,0.187
0.750,-0.016,0.097,2.197,0.75,0.290470233,0.193
0.775,-0.011,0.147,1.309,0.775,0.295388393,0.200
0.800,-0.007,0.147,0.840,0.8,0.30047327,0.207
0.825,-0.005,0.182,0.557,0.825,0.305724865,0.213
0.850,0.003,0.202,-0.565,0.85,0.311143177,0.220
0.875,0.008,0.146,-1.416,0.875,0.316728206,0.227
0.900,0.009,0.107,-1.455,0.9,0.322479953,0.233
0.925,0.012,0.084,-1.742,0.925,0.328398417,0.240
0.950,0.014,0.027,-2.199,0.95,0.334483598,0.247
0.975,0.014,-0.040,-2.156,0.975,0.340735496,0.253
1.000,0.012,-0.091,-1.724,1,0.347154112,0.260
1.025,0.009,-0.127,-1.248,1.025,0.353739445,0.267
1.050,0.005,-0.141,-1.109,1.05,0.360491495,0.273
1.075,0.003,-0.186,-0.796,1.075,0.367410263,0.280
1.100,-0.005,-0.205,0.330,1.1,0.374495748,0.287
1.125,-0.009,-0.165,1.339,1.125,0.38174795,0.293
1.150,-0.013,-0.125,1.903,1.15,0.389166869,0.300
1.175,-0.016,-0.068,2.301,1.175,0.396752506,0.307
1.200,-0.016,-0.005,2.438,1.2,0.40450486,0.313
1.225,-0.016,0.059,2.336,1.225,0.412423931,0.320
1.250,-0.013,0.118,1.960,1.25,0.42050972,0.327
1.275,-0.009,0.160,1.392,1.275,0.428762226,0.333
1.300,-0.005,0.188,0.728,1.3,0.437181449,0.340
1.325,0.000,0.207,-0.297,1.325,0.44576739,0.347
1.350,0.007,0.173,-1.303,1.35,0.454520047,0.353
1.375,0.009,0.121,-1.568,1.375,0.463439422,0.360
1.400,0.012,0.093,-1.692,1.4,0.472525515,0.367
1.425,0.014,0.045,-2.021,1.425,0.481778325,0.373
1.450,0.014,-0.012,-2.187,1.45,0.491197851,0.380
1.475,0.014,-0.070,-2.112,1.475,0.500784096,0.387
1.500,0.011,-0.126,-1.685,1.5,0.510537057,0.393
1.525,0.006,-0.152,-1.261,1.525,0.520456736,0.400
1.550,0.004,-0.188,-0.807,1.55,0.530543132,0.407
1.575,-0.003,-0.209,0.228,1.575,0.540796246,0.413
1.600,-0.008,-0.177,1.295,1.6,0.551216076,0.420
1.625,-0.012,-0.132,1.921,1.625,0.561802624,0.427
1.650,-0.015,-0.073,2.177,1.65,0.57255589,0.433
1.675,-0.016,-0.018,2.176,1.675,0.583475872,0.440
1.700,-0.016,0.034,2.182,1.7,0.594562572,0.447
1.725,-0.014,0.090,2.167,1.725,0.605815989,0.453
1.750,-0.011,0.146,1.925,1.75,0.617236124,0.460
1.775,-0.007,0.202,1.064,1.775,0.628822975,0.467
1.800,0.000,0.211,-0.232,1.8,0.640576545,0.473
1.825,0.005,0.177,-1.091,1.825,0.652496831,0.480
1.850,0.008,0.148,-1.568,1.85,0.664583834,0.487
1.875,0.012,0.096,-1.848,1.875,0.676837555,0.493
1.900,0.013,0.048,-1.858,1.9,0.689257994,0.499
1.925,0.015,0.007,-1.954,1.925,0.701845149,0.502
1.950,0.014,-0.050,-2.023,1.95,0.714460065,0.501
1.975,0.012,-0.099,-1.907,1.975,0.726963785,0.498
2.000,0.009,-0.141,-1.801,2,0.739356308,0.493
2.025,0.006,-0.201,-1.187,2.025,0.751637634,0.489
2.050,-0.002,-0.222,0.202,2.05,0.763807765,0.485
2.075,-0.007,-0.183,1.345,2.075,0.775866698,0.480
2.100,-0.011,-0.139,1.895,2.1,0.787814436,0.476
2.125,-0.014,-0.083,2.132,2.125,0.799650977,0.471
2.150,-0.016,-0.030,2.180,2.15,0.811376322,0.467
2.175,-0.016,0.029,2.082,2.175,0.82299047,0.462
2.200,-0.014,0.078,1.804,2.2,0.834493421,0.458
2.225,-0.012,0.119,1.473,2.225,0.845885177,0.453
2.250,-0.008,0.154,1.049,2.25,0.857165736,0.449
2.275,-0.004,0.175,0.495,2.275,0.868335098,0.445
2.300,0.001,0.180,-0.153,2.3,0.879393264,0.440
2.325,0.006,0.168,-0.860,2.325,0.890340234,0.436
2.350,0.010,0.138,-1.579,2.35,0.901176007,0.431
2.375,0.013,0.086,-2.129,2.375,0.911900584,0.427
2.400,0.014,0.026,-2.398,2.4,0.922513965,0.422
2.425,0.014,-0.039,-2.416,2.425,0.933016149,0.418
2.450,0.012,-0.102,-2.101,2.45,0.943407136,0.413
2.475,0.009,-0.149,-1.495,2.475,0.953686928,0.409
2.500,0.005,-0.181,-0.705,2.5,0.963855522,0.405
2.525,-0.001,-0.189,0.194,2.525,0.973912921,0.400
2.550,-0.006,-0.159,0.670,2.55,0.983859123,0.396
2.575,-0.008,-0.149,0.942,2.575,0.993694128,0.391
2.600,-0.013,-0.128,1.701,2.6,1.003417937,0.387
2.625,-0.016,-0.060,2.287,2.625,1.01303055,0.382
2.650,-0.016,0.002,2.306,2.65,1.022531966,0.378
2.675,-0.015,0.059,2.084,2.675,1.031922186,0.373
2.700,-0.013,0.108,1.734,2.7,1.04120121,0.369
2.725,-0.009,0.145,1.349,2.725,1.050369037,0.364
2.750,-0.006,0.173,0.958,2.75,1.059425668,0.360
2.775,-0.001,0.207,0.079,2.775,1.068371102,0.356
2.800,0.006,0.187,-1.113,2.8,1.07720534,0.351
2.825,0.009,0.132,-1.646,2.825,1.085928381,0.347
2.850,0.012,0.098,-1.922,2.85,1.094540226,0.342
2.875,0.014,0.043,-2.335,2.875,1.103040875,0.338
2.900,0.014,-0.023,-2.513,2.9,1.111430327,0.333
2.925,0.013,-0.092,-2.282,2.925,1.119708582,0.329
2.950,0.009,-0.147,-1.623,2.95,1.127875642,0.324
2.975,0.005,-0.175,-0.835,2.975,1.135931505,0.320
3.000,0.000,-0.187,-0.091,3,1.143876171,0.316
3.025,-0.004,-0.181,0.665,3.025,1.151709641,0.311
3.050,-0.009,-0.152,1.332,3.05,1.159431915,0.307
3.075,-0.012,-0.107,1.703,3.075,1.167042992,0.302
3.100,-0.014,-0.063,1.884,3.1,1.174542873,0.298
3.125,-0.016,-0.013,2.028,3.125,1.181931557,0.293
3.150,-0.015,0.041,2.018,3.15,1.189209045,0.289
3.175,-0.013,0.091,1.826,3.175,1.196375337,0.284
3.200,-0.011,0.136,1.460,3.2,1.203430432,0.280
3.225,-0.006,0.167,0.956,3.225,1.210374331,0.276
3.250,-0.002,0.186,0.317,3.25,1.217207033,0.271
3.275,0.003,0.189,-0.554,3.275,1.223928539,0.267
3.300,0.008,0.160,-1.460,3.3,1.230538849,0.262
3.325,0.012,0.108,-2.062,3.325,1.237037962,0.258
3.350,0.014,0.049,-2.304,3.35,1.243425878,0.253
3.375,0.014,-0.012,-2.274,3.375,1.249702599,0.249
3.400,0.013,-0.070,-1.993,3.4,1.255868122,0.244
3.425,0.011,-0.116,-1.504,3.425,1.26192245,0.240
3.450,0.007,-0.141,-1.136,3.45,1.267865581,0.236
3.475,0.004,-0.176,-0.661,3.475,1.273697515,0.231
3.500,-0.003,-0.179,0.030,3.5,1.279418254,0.227
3.525,-0.005,-0.172,0.679,3.525,1.285027795,0.222
3.550,-0.012,-0.152,1.549,3.55,1.290526141,0.218
3.575,-0.014,-0.087,2.117,3.575,1.29591329,0.213
3.600,-0.016,-0.037,2.286,3.6,1.301189242,0.209
3.625,-0.016,0.028,2.334,3.625,1.306353998,0.204
3.650,-0.014,0.085,2.123,3.65,1.311407558,0.200
3.675,-0.012,0.134,1.854,3.675,1.316349921,0.195
3.700,-0.008,0.190,1.118,3.7,1.321181088,0.191
3.725,-0.001,0.193,0.203,3.725,1.325901058,0.187
3.750,0.002,0.191,-0.455,3.75,1.330509833,0.182
3.775,0.009,0.183,-1.499,3.775,1.33500741,0.178
3.800,0.013,0.118,-2.499,3.8,1.339393791,0.173
3.825,0.015,0.035,-2.634,3.825,1.343668976,0.169
3.850,0.014,-0.028,-2.173,3.85,1.347832964,0.164
3.875,0.013,-0.069,-1.761,3.875,1.351885756,0.160
3.900,0.011,-0.112,-1.472,3.9,1.355827352,0.155
3.925,0.007,-0.145,-1.093,3.925,1.359657751,0.151
3.950,0.003,-0.171,-0.541,3.95,1.363376954,0.147
3.975,-0.002,-0.175,0.109,3.975,1.36698496,0.142
4.000,-0.006,-0.163,0.664,4,1.37048177,0.138
4.025,-0.010,-0.141,1.194,4.025,1.373867383,0.133
4.050,-0.013,-0.104,1.722,4.05,1.3771418,0.129
4.075,-0.016,-0.052,2.105,4.075,1.380305021,0.124
4.100,-0.016,0.006,2.259,4.1,1.383357045,0.120
4.125,-0.015,0.067,2.129,4.125,1.386297873,0.115
4.150,-0.012,0.117,1.765,4.15,1.389127504,0.111
4.175,-0.009,0.158,1.225,4.175,1.391845939,0.107
4.200,-0.004,0.183,0.507,4.2,1.394453178,0.102
4.225,0.000,0.185,-0.269,4.225,1.39694922,0.097
4.250,0.005,0.168,-0.996,4.25,1.399334066,0.088
4.275,0.009,0.132,-1.593,4.275,1.401607715,0.067
4.300,0.012,0.084,-2.000,4.3,1.403116141,0.027
4.325,0.014,0.028,-2.202,4.325,1.403205319,-0.026
4.350,0.014,-0.029,-2.231,4.35,1.401875246,-0.082
4.375,0.012,-0.087,-2.076,4.375,1.399125925,-0.138
4.400,0.009,-0.139,-1.616,4.4,1.394957353,-0.195
4.425,0.005,-0.173,-0.900,4.425,1.389369533,-0.252
4.450,0.000,-0.185,-0.107,4.45,1.382362463,-0.309
4.475,-0.005,-0.179,0.707,4.475,1.373936144,-0.365
4.500,-0.009,-0.146,1.342,4.5,1.364090576,-0.422
4.525,-0.012,-0.105,1.685,4.525,1.352825758,-0.479
4.550,-0.015,-0.061,1.939,4.55,1.34014169,-0.536
4.575,-0.016,-0.008,2.113,4.575,1.326038374,-0.593
4.600,-0.015,0.051,2.035,4.6,1.310515808,-0.649
4.625,-0.013,0.101,1.680,4.625,1.293573992,-0.706
4.650,-0.010,0.134,1.283,4.65,1.275212928,-0.763
4.675,-0.006,0.165,0.827,4.675,1.255432614,-0.820
4.700,-0.001,0.183,0.090,4.7,1.23423305,-0.876
4.725,0.004,0.171,-0.693,4.725,1.211614237,-0.933
4.750,0.008,0.144,-1.308,4.75,1.187576175,-0.990
4.775,0.011,0.103,-1.796,4.775,1.162118864,-1.047
4.800,0.013,0.049,-2.059,4.8,1.135242303,-1.103
4.825,0.014,-0.005,-2.113,4.825,1.106946492,-1.160
4.850,0.013,-0.059,-2.007,4.85,1.077231433,-1.217
4.875,0.010,-0.102,-1.931,4.875,1.046097124,-1.274
4.900,0.008,-0.163,-1.540,4.9,1.013543565,-1.331
4.925,0.001,-0.191,-0.632,4.925,0.979570757,-1.387
4.950,-0.002,-0.192,0.241,4.95,0.9441787,-1.444
4.975,-0.008,-0.183,1.223,4.975,0.907367394,-1.501
5.000,-0.012,-0.126,1.947,5,0.869136838,-1.558
5.025,-0.014,-0.073,2.151,5.025,0.829487033,-1.614
5.050,-0.016,-0.018,2.264,5.05,0.788417978,-1.671
5.075,-0.016,0.043,2.196,5.075,0.745929674,-1.728
5.100,-0.014,0.098,1.848,5.1,0.702022121,-1.785
5.125,-0.011,0.146,1.099,5.125,0.656695318,-1.841
5.150,-0.005,0.152,0.394,5.15,0.609949266,-1.898
5.175,-0.003,0.149,0.257,5.175,0.561783965,-1.955
5.200,0.002,0.170,-0.061,5.2,0.512199414,-2.012
5.225,0.006,0.159,-0.857,5.225,0.461195614,-2.007
5.250,0.010,0.126,-1.643,5.25,0.408772564,-1.817
5.275,0.013,0.073,-2.246,5.275,0.354930265,-1.067
5.300,0.014,0.004,-2.387,5.3,0.354930265,-0.298
5.325,0.013,-0.057,-2.053,5.325,0.354930265,-0.060
5.350,0.011,-0.103,-1.506,5.35,0.354930265,0.000
5.375,0.007,-0.125,-1.159,5.375,0.354930265,0.000
5.400,0.005,-0.164,-0.735,5.4,0.354930265,0.000
5.425,-0.002,-0.173,0.048,5.425,0.354930265,0.000
5.450,-0.004,-0.147,0.390,5.45,0.354930265,0.000
5.475,-0.008,-0.155,0.836,5.475,0.354930265,0.000
5.500,-0.013,-0.124,1.871,5.5,0.354930265,0.000
5.525,-0.015,-0.050,2.471,5.525,0.354930265,0.000
5.550,-0.015,0.018,2.410,5.55,0.354930265,0.000
5.575,-0.014,0.071,2.182,5.575,0.354930265,0.000
5.600,-0.012,0.121,2.018,5.6,0.354930265,0.000
5.625,-0.008,0.184,1.408,5.625,0.354930265,0.000
5.650,-0.002,0.208,0.190,5.65,0.354930265,0.000
5.675,0.003,0.185,-0.800,5.675,0.354930265,0.000
5.700,0.008,0.161,-1.479,5.7,0.354930265,0.000
5.725,0.012,0.107,-1.906,5.725,0.354930265,0.000
5.750,0.013,0.056,-1.961,5.75,0.354930265,0.000
5.775,0.014,0.013,-2.096,5.775,0.354930265,0.000
5.800,0.014,-0.050,-2.137,5.8,0.354930265,0.000
5.825,0.012,-0.105,-1.763,5.825,0.354930265,0.000
5.850,0.008,-0.134,-1.400,5.85,0.354930265,0.000
5.875,0.006,-0.177,-0.899,5.875,0.354930265,0.000
5.900,-0.001,-0.198,0.210,5.9,0.354930265,0.000
5.925,-0.006,-0.154,0.894,5.925,0.354930265,0.000
5.950,-0.008,-0.138,1.038,5.95,0.354930265,0.000
5.975,-0.013,-0.117,1.617,5.975,0.354930265,0.000
6.000,-0.015,-0.055,2.084,6,0.354930265,0.000
6.025,-0.016,0.001,2.074,6.025,0.354930265,0.000
6.050,-0.015,0.050,1.929,6.05,0.354930265,0.000
6.075,-0.013,0.097,1.721,6.075,0.354930265,0.000
6.100,-0.010,0.139,1.384,6.1,0.354930265,0.000
6.125,-0.006,0.170,0.858,6.125,0.354930265,0.000
6.150,-0.001,0.187,0.115,6.15,0.354930265,0.000
6.175,0.004,0.178,-0.725,6.175,0.354930265,0.000
6.200,0.008,0.148,-1.466,6.2,0.354930265,0.000
6.225,0.012,0.102,-2.040,6.225,0.354930265,0.000
6.250,0.014,0.040,-2.321,6.25,0.354930265,0.000
6.275,0.014,-0.022,-2.244,6.275,0.354930265,0.000
6.300,0.012,-0.075,-1.984,6.3,0.354930265,0.000
6.325,0.010,-0.127,-1.506,6.325,0.354930265,0.000
6.350,0.006,-0.157,-0.789,6.35,0.354930265,0.000
6.375,0.001,-0.155,-0.398,6.375,0.354930265,0.000
6.400,-0.001,-0.175,-0.050,6.4,0.354930265,0.000
6.425,-0.008,-0.177,0.954,6.425,0.354930265,0.000
6.450,-0.012,-0.124,1.834,6.45,0.354930265,0.000
6.475,-0.014,-0.069,2.108,6.475,0.354930265,0.000
6.500,-0.015,-0.015,2.154,6.5,0.354930265,0.000
6.525,-0.015,0.039,2.086,6.525,0.354930265,0.000
6.550,-0.013,0.093,1.870,6.55,0.354930265,0.000
6.575,-0.010,0.137,1.452,6.575,0.354930265,0.000
6.600,-0.006,0.165,0.949,6.6,0.354930265,0.000
6.625,-0.002,0.196,0.045,6.625,0.354930265,0.000
