"Time","Position","Velocity","Acceleration"
0.02,0.230,2.073,-8.327
0.04,0.273,1.920,-9.528
0.06,0.309,1.739,-11.472
0.08,0.345,1.452,-12.922
0.10,0.367,1.158,-11.497
0.12,0.389,0.987,-9.630
0.14,0.407,0.800,-8.731
0.16,0.421,0.647,-8.294
0.18,0.434,0.450,-7.371
0.20,0.436,0.356,-6.706
0.22,0.449,0.224,-7.947
0.24,0.447,0.027,-8.917
0.26,0.449,-0.134,-9.856
0.28,0.443,-0.369,-10.313
0.30,0.434,-0.575,-9.337
0.32,0.420,-0.774,-7.224
0.34,0.399,-0.829,-6.803
0.36,0.388,-0.970,-9.905
0.38,0.364,-1.243,-12.437
0.40,0.338,-1.500,-13.353
0.42,0.305,-1.804,-12.617
0.44,0.264,-2.026,-10.432
0.46,0.223,-2.222,-7.017
0.48,0.175,-2.387,2.618
0.50,0.126,-2.337,23.767
0.52,0.073,-1.711,55.065
0.54,0.030,0.168,69.677
0.56,0.084,1.836,47.775
0.58,0.131,2.218,16.330
0.60,0.177,2.194,-2.827
0.62,0.223,1.895,-9.969
0.64,0.252,1.649,-8.605
0.66,0.283,1.607,-8.854
0.68,0.320,1.398,-13.080
0.70,0.344,1.000,-13.840
0.72,0.356,0.761,-10.794
0.74,0.373,0.597,-8.531
0.76,0.381,0.442,-7.437
0.78,0.389,0.333,-8.106
0.80,0.396,0.127,-9.193
0.82,0.395,-0.082,-8.400
0.84,0.391,-0.204,-7.979
0.86,0.387,-0.350,-9.737
0.88,0.379,-0.582,-12.010
0.90,0.365,-0.870,-12.478
0.92,0.343,-1.112,-11.282
0.94,0.320,-1.321,-9.900
0.96,0.289,-1.503,-8.823
0.98,0.259,-1.651,-8.806
1.00,0.224,-1.845,-8.724
1.02,0.185,-2.053,-4.252
1.04,0.143,-2.181,10.069
1.06,0.093,-1.946,37.233
1.08,0.042,-0.650,59.892
1.10,0.059,1.050,53.231
1.12,0.104,1.869,26.286
1.14,0.147,1.954,3.774
1.16,0.185,1.774,-6.728
1.18,0.218,1.565,-9.345
1.20,0.247,1.374,-9.341
1.22,0.272,1.192,-9.024
1.24,0.294,1.027,-9.325
1.26,0.314,0.832,-10.202
1.28,0.328,0.604,-10.471
1.30,0.338,0.399,-10.110
1.32,0.344,0.207,-10.007
1.34,0.346,0.007,-10.247
1.36,0.344,-0.204,-10.409
1.38,0.338,-0.422,-10.004
1.40,0.327,-0.610,-9.333
1.42,0.314,-0.782,-9.213
1.44,0.296,-0.975,-9.303
1.46,0.274,-1.158,-9.315
1.48,0.250,-1.343,-9.528
1.50,0.221,-1.536,-9.605
1.52,0.188,-1.745,-7.720
1.54,0.151,-1.933,0.564
1.56,0.111,-1.945,20.149
1.58,0.062,-1.340,47.296
1.60,0.034,0.272,57.213
1.62,0.080,1.584,36.585
1.64,0.121,1.810,9.928
1.66,0.157,1.685,-4.264
1.68,0.188,1.478,-8.977
1.70,0.216,1.278,-9.463
1.72,0.239,1.108,-9.644
1.74,0.261,0.894,-9.768
1.76,0.274,0.703,-9.318
1.78,0.289,0.516,-8.691
1.80,0.294,0.369,-8.603
1.82,0.305,0.188,-9.366
1.84,0.302,-0.020,-9.733
1.86,0.302,-0.178,-10.995
1.88,0.298,-0.463,-11.920
1.90,0.283,-0.704,-10.730
1.92,0.268,-0.883,-9.969
1.94,0.248,-1.071,-10.504
1.96,0.226,-1.284,-11.696
1.98,0.198,-1.582,-10.445
2.00,0.160,-1.780,-3.865
2.02,0.126,-1.842,9.725
2.04,0.084,-1.633,33.616
2.06,0.041,-0.467,53.441
2.08,0.057,1.058,46.280
2.10,0.101,1.741,20.746
2.12,0.140,1.731,0.322
2.14,0.172,1.512,-8.344
2.16,0.199,1.302,-10.403
2.18,0.224,1.093,-10.997
2.20,0.244,0.858,-11.109
2.22,0.258,0.636,-10.695
2.24,0.269,0.432,-10.275
2.26,0.276,0.235,-10.158
2.28,0.279,0.012,-9.591
2.30,0.275,-0.150,-9.100
2.32,0.273,-0.312,-10.286
2.34,0.264,-0.572,-11.069
2.36,0.249,-0.784,-10.649
2.38,0.233,-0.988,-10.546
2.40,0.209,-1.201,-10.501
2.42,0.185,-1.406,-9.999
2.44,0.154,-1.648,-5.510
2.46,0.118,-1.781,7.858
2.48,0.078,-1.584,31.630
2.50,0.034,-0.429,49.138
2.52,0.056,0.950,39.395
2.54,0.093,1.404,15.792
2.56,0.121,1.370,-0.078
2.58,0.148,1.225,-6.904
2.60,0.170,1.051,-9.686
2.62,0.191,0.824,-10.849
2.64,0.203,0.585,-10.352
2.66,0.213,0.396,-9.245
2.68,0.218,0.242,-9.271
2.70,0.224,0.045,-10.124
2.72,0.221,-0.181,-10.260
2.74,0.216,-0.388,-9.458
2.76,0.204,-0.547,-9.194
2.78,0.195,-0.729,-10.334
2.80,0.176,-0.954,-12.273
2.82,0.156,-1.188,-14.401
2.84,0.132,-1.552,-12.490
2.86,0.100,-2.078,7.785
2.88,0.025,-1.486,38.092
