"Time","Force","Position","Velocity","Acceleration"
0.033300,1.479,-0.069,-0.005,0.103
0.066600,1.485,-0.069,-0.002,0.094
0.099900,1.479,-0.069,0.002,0.066
0.133200,1.467,-0.069,0.003,0.024
0.166500,1.473,-0.069,0.002,0.017
0.199800,1.473,-0.069,0.004,0.014
0.233100,1.473,-0.069,0.005,-0.035
0.266400,1.473,-0.069,0.001,-0.065
0.299700,1.473,-0.069,-0.002,-0.029
0.333000,1.461,-0.069,-0.001,0.004
0.366300,1.473,-0.069,0.000,0.001
0.399600,1.467,-0.069,0.000,-0.018
0.432900,1.473,-0.069,-0.001,-0.044
0.466200,1.479,-0.069,-0.004,-0.046
0.499500,1.467,-0.069,-0.006,0.000
0.532800,1.479,-0.069,-0.004,0.046
0.566100,1.479,-0.069,-0.001,0.045
0.599400,1.473,-0.069,0.000,0.019
0.632700,1.485,-0.069,0.000,0.004
0.666000,1.485,-0.069,0.000,0.006
0.699300,1.479,-0.069,-0.001,0.040
0.732600,1.497,-0.070,0.003,0.053
0.765900,1.473,-0.069,0.005,-0.003
0.799200,1.485,-0.069,0.002,-0.028
0.832500,1.479,-0.069,0.001,0.005
0.865800,1.479,-0.069,0.002,0.040
0.899100,1.479,-0.069,0.006,0.019
0.932400,1.479,-0.069,0.005,-0.059
0.965700,1.467,-0.069,-0.001,-0.073
0.999000,1.467,-0.069,-0.001,-0.040
1.032300,1.467,-0.069,-0.003,-0.009
1.065600,1.467,-0.069,-0.002,0.031
1.098900,1.473,-0.069,0.001,0.011
1.132200,1.461,-0.069,0.000,-0.036
1.165500,1.467,-0.069,-0.003,-0.039
1.198800,1.473,-0.069,-0.004,-0.017
1.232100,1.479,-0.069,-0.004,0.003
1.265400,1.485,-0.069,-0.003,0.013
1.298700,1.485,-0.069,-0.002,0.002
1.332000,1.485,-0.069,-0.004,0.001
1.365300,1.485,-0.070,-0.004,0.058
1.398600,1.479,-0.070,0.002,0.074
1.431900,1.479,-0.069,0.003,0.019
1.465200,1.485,-0.070,0.003,-0.032
1.498500,1.479,-0.069,0.000,-0.042
1.531800,1.473,-0.070,-0.003,0.033
1.565100,1.479,-0.070,0.003,0.083
1.598400,1.479,-0.069,0.006,0.028
1.631700,1.467,-0.069,0.006,-0.057
1.665000,1.473,-0.069,0.000,-0.090
1.698300,1.467,-0.069,-0.004,-0.023
1.731600,1.467,-0.069,-0.001,0.038
1.764900,1.473,-0.069,0.002,0.014
1.798200,1.467,-0.069,0.000,-0.024
1.831500,1.473,-0.069,-0.001,-0.038
1.864800,1.479,-0.069,-0.003,-0.024
1.898100,1.473,-0.069,-0.003,0.010
1.931400,1.479,-0.069,-0.001,0.011
1.964700,1.473,-0.069,-0.001,-0.018
1.998000,1.479,-0.069,-0.003,-0.025
2.031300,1.479,-0.070,-0.004,0.002
2.064600,1.485,-0.070,-0.003,0.040
2.097900,1.479,-0.070,-0.002,0.080
2.131200,1.485,-0.070,0.004,0.053
2.164500,1.479,-0.069,0.003,-0.014
2.197800,1.479,-0.070,0.001,-0.022
2.231100,1.485,-0.069,0.001,0.006
2.264400,1.473,-0.070,0.002,0.033
2.297700,1.473,-0.069,0.005,0.005
2.331000,1.473,-0.069,0.003,-0.051
2.364300,1.473,-0.069,-0.001,-0.034
2.397600,1.473,-0.069,0.000,0.011
2.430900,1.473,-0.069,0.001,0.027
2.464200,1.473,-0.069,0.003,0.008
2.497500,1.467,-0.069,0.002,-0.041
2.530800,1.467,-0.069,-0.002,-0.050
2.564100,1.467,-0.069,-0.002,-0.035
2.597400,1.473,-0.069,-0.004,-0.021
2.630700,1.473,-0.069,-0.005,0.028
2.664000,1.479,-0.070,0.000,0.024
2.697300,1.473,-0.069,-0.001,-0.024
2.730600,1.479,-0.070,-0.004,0.000
2.763900,1.485,-0.070,-0.001,0.032
2.797200,1.485,-0.070,0.000,0.025
2.830500,1.479,-0.070,0.000,0.022
2.863800,1.485,-0.070,0.000,0.031
2.897100,1.485,-0.070,0.002,0.049
2.930400,1.473,-0.070,0.005,0.029
2.963700,1.479,-0.069,0.004,-0.008
2.997000,1.479,-0.069,0.003,0.001
3.030300,1.479,-0.069,0.005,-0.015
3.063600,1.473,-0.069,0.003,-0.054
3.096900,1.473,-0.069,-0.001,-0.031
3.130200,1.467,-0.069,0.000,0.011
