"Time","Force","Position","Velocity","Acceleration"
0.033300,0.392,-0.020,0.026,-2.352
0.066600,0.338,-0.018,-0.044,-2.650
0.099900,0.356,-0.020,-0.143,-2.908
0.133200,0.495,-0.027,-0.249,-2.847
0.166500,0.699,-0.037,-0.347,-2.340
0.199800,0.963,-0.051,-0.415,-1.464
0.233100,1.287,-0.066,-0.448,-0.421
0.266400,1.618,-0.082,-0.445,0.706
0.299700,1.942,-0.096,-0.401,1.808
0.333000,2.224,-0.109,-0.319,2.724
0.366300,2.447,-0.118,-0.211,3.348
0.399600,2.573,-0.124,-0.090,3.716
0.432900,2.627,-0.125,0.042,3.844
0.466200,2.561,-0.121,0.176,3.627
0.499500,2.417,-0.113,0.294,3.035
0.532800,2.182,-0.101,0.387,2.116
0.566100,1.888,-0.086,0.439,1.025
0.599400,1.570,-0.070,0.455,-0.091
0.632700,1.221,-0.054,0.434,-1.194
0.666000,0.927,-0.040,0.369,-2.087
0.699300,0.651,-0.029,0.287,-2.724
0.732600,0.470,-0.021,0.187,-3.269
0.765900,0.356,-0.017,0.069,-3.726
0.799200,0.344,-0.015,-0.068,-3.920
0.832500,0.428,-0.021,-0.208,-3.596
0.865800,0.609,-0.030,-0.319,-2.867
0.899100,0.855,-0.043,-0.403,-1.952
0.932400,1.155,-0.058,-0.452,-0.905
0.965700,1.486,-0.074,-0.466,0.231
0.999000,1.810,-0.090,-0.439,1.402
1.032300,2.122,-0.104,-0.368,2.411
1.065600,2.356,-0.115,-0.268,3.110
1.098900,2.531,-0.122,-0.155,3.573
1.132200,2.603,-0.126,-0.027,3.861
1.165500,2.585,-0.125,0.111,3.824
1.198800,2.477,-0.118,0.239,3.370
1.232100,2.272,-0.108,0.346,2.547
1.265400,2.002,-0.094,0.415,1.506
1.298700,1.690,-0.079,0.443,0.517
1.332000,1.365,-0.064,0.448,-0.447
1.365300,1.035,-0.049,0.418,-1.530
1.398600,0.759,-0.035,0.346,-2.576
1.431900,0.525,-0.025,0.240,-3.394
1.465200,0.398,-0.018,0.109,-3.836
1.498500,0.350,-0.017,-0.028,-3.827
1.531800,0.386,-0.021,-0.155,-3.486
1.565100,0.537,-0.028,-0.266,-2.925
1.598400,0.753,-0.039,-0.352,-2.232
1.631700,1.041,-0.052,-0.418,-1.393
1.665000,1.359,-0.068,-0.453,-0.294
1.698300,1.696,-0.084,-0.441,0.921
1.731600,2.002,-0.098,-0.387,2.007
1.764900,2.272,-0.110,-0.301,2.870
1.798200,2.471,-0.119,-0.187,3.422
1.831500,2.585,-0.123,-0.065,3.668
1.864800,2.597,-0.123,0.061,3.697
1.898100,2.525,-0.119,0.190,3.414
1.931400,2.356,-0.110,0.300,2.753
1.964700,2.110,-0.098,0.375,1.955
1.998000,1.810,-0.085,0.432,1.054
2.031300,1.486,-0.068,0.455,-0.107
2.064600,1.155,-0.053,0.425,-1.287
2.097900,0.861,-0.039,0.364,-2.304
2.131200,0.615,-0.028,0.266,-3.086
2.164500,0.440,-0.021,0.149,-3.556
2.197800,0.362,-0.018,0.024,-3.793
2.231100,0.374,-0.019,-0.111,-3.714
2.264400,0.470,-0.025,-0.236,-3.241
2.297700,0.669,-0.035,-0.334,-2.504
2.331000,0.921,-0.048,-0.404,-1.650
2.364300,1.227,-0.063,-0.447,-0.660
2.397600,1.552,-0.079,-0.455,0.531
2.430900,1.882,-0.095,-0.411,1.688
2.464200,2.164,-0.107,-0.334,2.569
2.497500,2.393,-0.118,-0.233,3.191
2.530800,2.543,-0.123,-0.116,3.594
2.564100,2.603,-0.125,0.010,3.811
2.597400,2.555,-0.123,0.146,3.702
2.630700,2.423,-0.115,0.269,3.164
2.664000,2.212,-0.104,0.366,2.320
2.697300,1.930,-0.090,0.428,1.301
2.730600,1.618,-0.075,0.451,0.275
2.763900,1.287,-0.059,0.445,-0.730
2.797200,0.987,-0.044,0.406,-1.804
2.830500,0.711,-0.031,0.324,-2.812
2.863800,0.513,-0.022,0.210,-3.526
2.897100,0.392,-0.017,0.077,-3.815
2.930400,0.362,-0.017,-0.054,-3.733
2.963700,0.434,-0.020,-0.176,-3.440
2.997000,0.579,-0.029,-0.290,-2.896
3.030300,0.825,-0.040,-0.377,-2.072
3.063600,1.113,-0.055,-0.431,-1.103
3.096900,1.432,-0.070,-0.453,-0.019
3.130200,1.744,-0.086,-0.436,1.165
3.163500,2.056,-0.100,-0.371,2.183
3.196800,2.302,-0.111,-0.281,2.902
3.230100,2.483,-0.119,-0.172,3.399
3.263400,2.579,-0.123,-0.050,3.681
3.296700,2.573,-0.123,0.079,3.707
3.330000,2.483,-0.118,0.208,3.348
3.363300,2.290,-0.108,0.313,2.630
3.396600,2.044,-0.096,0.387,1.733
3.429900,1.738,-0.082,0.429,0.760
3.463200,1.413,-0.067,0.439,-0.285
3.496500,1.101,-0.052,0.414,-1.411
3.529800,0.819,-0.038,0.344,-2.458
3.563100,0.585,-0.028,0.240,-3.183
3.596400,0.434,-0.022,0.123,-3.573
3.629700,0.362,-0.019,-0.005,-3.686
3.663000,0.392,-0.022,-0.132,-3.471
3.696300,0.525,-0.029,-0.242,-3.014
3.729600,0.723,-0.039,-0.337,-2.367
3.762900,0.993,-0.052,-0.406,-1.481
3.796200,1.299,-0.066,-0.441,-0.398
3.829500,1.624,-0.082,-0.435,0.763
3.862800,1.930,-0.097,-0.387,1.818
3.896100,2.206,-0.109,-0.307,2.629
3.929400,2.423,-0.118,-0.207,3.236
3.962700,2.549,-0.123,-0.088,3.669
3.996000,2.585,-0.124,0.045,3.803
4.029300,2.525,-0.120,0.177,3.523
4.062600,2.375,-0.111,0.291,2.860
4.095900,2.152,-0.100,0.372,2.003
4.129200,1.870,-0.086,0.425,1.077
4.162500,1.546,-0.071,0.447,0.068
4.195800,1.221,-0.055,0.431,-0.992
4.229100,0.927,-0.041,0.380,-2.035
4.262400,0.675,-0.029,0.293,-2.950
4.295700,0.489,-0.021,0.176,-3.569
4.329000,0.380,-0.017,0.045,-3.812
4.362300,0.380,-0.018,-0.088,-3.685
4.395600,0.464,-0.023,-0.208,-3.281
4.428900,0.633,-0.032,-0.311,-2.696
4.462200,0.879,-0.044,-0.394,-1.878
4.495500,1.179,-0.059,-0.442,-0.837
4.528800,1.492,-0.075,-0.453,0.308
4.562100,1.816,-0.090,-0.421,1.420
4.595400,2.098,-0.104,-0.351,2.323
4.628700,2.338,-0.114,-0.260,3.004
4.662000,2.507,-0.122,-0.148,3.525
4.695300,2.567,-0.125,-0.019,3.783
4.728600,2.555,-0.123,0.114,3.660
4.761900,2.429,-0.117,0.236,3.158
