"Time","Force","Position","Velocity","Acceleration"
0.033300,-0.544,0.020,-0.450,-2.246
0.066600,-0.195,0.006,-0.517,-2.490
0.099900,0.171,-0.012,-0.607,-2.644
0.133200,0.639,-0.033,-0.716,-2.139
0.166500,1.144,-0.061,-0.784,-0.590
0.199800,1.739,-0.088,-0.763,1.314
0.233100,2.219,-0.113,-0.688,3.038
0.266400,2.766,-0.135,-0.556,4.543
0.299700,3.078,-0.152,-0.376,5.677
0.333000,3.342,-0.161,-0.165,6.327
0.366300,3.372,-0.163,0.059,6.474
0.399600,3.282,-0.157,0.281,6.082
0.432900,3.024,-0.144,0.478,5.158
0.466200,2.610,-0.124,0.634,3.835
0.499500,2.159,-0.100,0.747,2.037
0.532800,1.570,-0.072,0.780,-0.079
0.566100,1.072,-0.046,0.735,-2.020
0.599400,0.507,-0.022,0.637,-3.682
0.632700,0.111,-0.002,0.483,-5.055
0.666000,-0.310,0.011,0.290,-6.045
0.699300,-0.496,0.018,0.070,-6.594
0.732600,-0.580,0.016,-0.166,-6.508
0.765900,-0.225,0.006,-0.385,-5.689
0.799200,0.087,-0.010,-0.559,-4.344
0.832500,0.555,-0.033,-0.679,-2.738
0.865800,1.054,-0.057,-0.744,-1.008
0.899100,1.625,-0.084,-0.750,0.809
0.932400,2.159,-0.109,-0.688,2.546
0.965700,2.634,-0.131,-0.572,4.016
0.999000,3.036,-0.148,-0.416,5.278
1.032300,3.240,-0.160,-0.214,6.228
1.065600,3.372,-0.163,0.017,6.550
1.098900,3.276,-0.159,0.241,6.212
1.132200,3.090,-0.146,0.443,5.353
1.165500,2.688,-0.128,0.607,4.074
1.198800,2.255,-0.105,0.729,2.323
1.232100,1.685,-0.077,0.772,0.270
1.265400,1.156,-0.051,0.740,-1.622
1.298700,0.627,-0.027,0.656,-3.264
1.332000,0.183,-0.006,0.519,-4.718
1.365300,-0.165,0.009,0.335,-5.865
1.398600,-0.484,0.017,0.114,-6.464
1.431900,-0.526,0.017,-0.114,-6.413
1.465200,-0.292,0.009,-0.329,-5.789
1.498500,0.039,-0.006,-0.511,-4.702
1.531800,0.447,-0.026,-0.651,-3.253
1.565100,0.940,-0.051,-0.737,-1.479
1.598400,1.462,-0.077,-0.753,0.413
1.631700,2.033,-0.103,-0.706,2.180
1.665000,2.501,-0.126,-0.599,3.674
