"Time","Force","Position","Velocity","Acceleration"
0.033300,1.823,-0.087,-0.062,0.931
0.066600,1.883,-0.090,-0.034,1.054
0.099900,1.895,-0.091,0.003,1.206
0.133200,1.913,-0.090,0.047,1.319
0.166500,1.823,-0.088,0.096,1.265
0.199800,1.781,-0.083,0.138,0.981
0.233100,1.649,-0.078,0.165,0.551
0.266400,1.552,-0.072,0.175,0.095
0.299700,1.402,-0.066,0.170,-0.320
0.333000,1.294,-0.060,0.153,-0.714
0.366300,1.180,-0.055,0.126,-1.158
0.399600,1.096,-0.051,0.071,-1.443
0.432900,1.060,-0.051,0.018,-1.390
0.466200,1.018,-0.051,-0.021,-1.293
0.499500,1.078,-0.052,-0.065,-1.237
0.532800,1.096,-0.055,-0.107,-1.076
0.566100,1.222,-0.059,-0.141,-0.794
0.599400,1.306,-0.064,-0.163,-0.407
0.632700,1.450,-0.071,-0.170,0.040
0.666000,1.558,-0.077,-0.156,0.380
0.699300,1.685,-0.081,-0.138,0.578
0.732600,1.793,-0.085,-0.125,0.964
0.765900,1.841,-0.090,-0.084,1.546
0.799200,1.919,-0.092,-0.008,1.727
0.832500,1.889,-0.090,0.049,1.415
0.865800,1.883,-0.088,0.081,1.148
0.899100,1.781,-0.085,0.121,0.950
0.932400,1.721,-0.080,0.151,0.605
0.965700,1.576,-0.074,0.164,0.205
0.999000,1.462,-0.068,0.157,-0.032
1.032300,1.336,-0.064,0.161,-0.265
1.065600,1.222,-0.057,0.152,-0.818
1.098900,1.138,-0.053,0.106,-1.355
1.132200,1.054,-0.050,0.051,-1.561
1.165500,1.054,-0.050,-0.003,-1.547
1.198800,1.030,-0.050,-0.060,-1.285
1.232100,1.108,-0.055,-0.091,-0.962
1.265400,1.162,-0.057,-0.114,-0.874
1.298700,1.282,-0.061,-0.152,-0.707
1.332000,1.390,-0.067,-0.171,-0.261
1.365300,1.516,-0.074,-0.171,0.248
1.398600,1.643,-0.079,-0.152,0.684
1.431900,1.751,-0.084,-0.121,0.992
1.465200,1.841,-0.087,-0.083,1.189
1.498500,1.859,-0.090,-0.040,1.289
1.531800,1.919,-0.090,0.008,1.254
1.565100,1.871,-0.089,0.041,1.262
1.598400,1.835,-0.088,0.088,1.319
1.631700,1.727,-0.083,0.141,1.034
1.665000,1.637,-0.077,0.165,0.507
1.698300,1.504,-0.072,0.171,0.053
1.731600,1.378,-0.066,0.165,-0.325
1.764900,1.276,-0.060,0.150,-0.714
1.798200,1.150,-0.055,0.119,-1.104
1.831500,1.102,-0.052,0.072,-1.342
1.864800,1.030,-0.051,0.020,-1.304
1.898100,1.060,-0.051,-0.014,-1.254
1.931400,1.054,-0.051,-0.057,-1.343
1.964700,1.150,-0.055,-0.110,-1.232
1.998000,1.222,-0.059,-0.147,-0.875
2.031300,1.342,-0.065,-0.170,-0.428
2.064600,1.474,-0.071,-0.176,0.048
2.097900,1.582,-0.077,-0.167,0.502
2.131200,1.721,-0.082,-0.142,0.918
2.164500,1.787,-0.087,-0.102,1.211
2.197800,1.883,-0.089,-0.057,1.367
2.231100,1.883,-0.091,-0.010,1.452
2.264400,1.901,-0.090,0.043,1.425
2.297700,1.835,-0.088,0.089,1.262
2.331000,1.787,-0.084,0.130,0.980
2.364300,1.673,-0.078,0.157,0.592
2.397600,1.546,-0.073,0.168,0.214
2.430900,1.438,-0.067,0.173,-0.189
2.464200,1.300,-0.061,0.158,-0.633
2.497500,1.216,-0.056,0.127,-0.971
2.530800,1.102,-0.052,0.090,-1.219
2.564100,1.078,-0.050,0.044,-1.396
2.597400,1.024,-0.049,-0.005,-1.476
2.630700,1.066,-0.050,-0.057,-1.435
2.664000,1.108,-0.053,-0.105,-1.228
2.697300,1.192,-0.057,-0.146,-0.828
2.730600,1.306,-0.064,-0.159,-0.433
2.763900,1.420,-0.068,-0.166,-0.230
2.797200,1.558,-0.074,-0.183,0.182
2.830500,1.655,-0.082,-0.163,0.802
2.863800,1.793,-0.086,-0.121,1.197
2.897100,1.829,-0.089,-0.075,1.366
2.930400,1.901,-0.091,-0.029,1.466
2.963700,1.883,-0.092,0.022,1.534
2.997000,1.871,-0.089,0.078,1.447
3.030300,1.805,-0.086,0.123,1.203
3.063600,1.715,-0.081,0.163,0.785
3.096900,1.600,-0.075,0.180,0.236
3.130200,1.468,-0.069,0.175,-0.218
3.163500,1.366,-0.063,0.161,-0.557
3.196800,1.222,-0.058,0.137,-0.857
3.230100,1.156,-0.054,0.105,-1.152
3.263400,1.060,-0.050,0.059,-1.389
3.296700,1.060,-0.049,0.007,-1.457
3.330000,1.042,-0.050,-0.041,-1.415
3.363300,1.090,-0.052,-0.089,-1.293
3.396600,1.156,-0.056,-0.129,-1.060
3.429900,1.252,-0.061,-0.168,-0.586
3.463200,1.390,-0.068,-0.172,-0.005
3.496500,1.486,-0.073,-0.157,0.298
3.529800,1.637,-0.078,-0.151,0.543
3.563100,1.721,-0.083,-0.126,0.896
3.596400,1.829,-0.087,-0.089,1.184
3.629700,1.865,-0.089,-0.045,1.395
3.663000,1.907,-0.090,0.007,1.471
3.696300,1.877,-0.089,0.058,1.369
3.729600,1.829,-0.086,0.101,1.152
3.762900,1.757,-0.082,0.138,0.819
3.796200,1.637,-0.077,0.159,0.394
3.829500,1.540,-0.071,0.165,-0.037
3.862800,1.384,-0.065,0.152,-0.370
3.896100,1.294,-0.061,0.136,-0.599
3.929400,1.162,-0.056,0.117,-0.921
3.962700,1.114,-0.052,0.076,-1.245
3.996000,1.048,-0.051,0.028,-1.400
4.029300,1.048,-0.051,-0.022,-1.392
4.062600,1.072,-0.052,-0.068,-1.249
4.095900,1.126,-0.055,-0.107,-1.035
4.129200,1.228,-0.060,-0.141,-0.690
4.162500,1.324,-0.065,-0.153,-0.327
4.195800,1.468,-0.070,-0.158,-0.072
4.229100,1.558,-0.076,-0.159,0.229
4.262400,1.709,-0.081,-0.152,0.763
4.295700,1.781,-0.087,-0.108,1.272
4.329000,1.859,-0.088,-0.053,1.376
4.362300,1.889,-0.090,-0.015,1.383
4.395600,1.889,-0.090,0.038,1.351
4.428900,1.853,-0.087,0.083,1.123
4.462200,1.775,-0.084,0.114,0.867
4.495500,1.697,-0.079,0.134,0.739
4.528800,1.558,-0.075,0.166,0.497
4.562100,1.456,-0.068,0.181,-0.118
4.595400,1.312,-0.062,0.158,-0.717
4.628700,1.222,-0.057,0.118,-0.928
4.662000,1.120,-0.055,0.092,-1.009
4.695300,1.072,-0.051,0.062,-1.310
4.728600,1.048,-0.050,0.002,-1.508
4.761900,1.048,-0.051,-0.049,-1.409
4.795200,1.108,-0.053,-0.094,-1.211
4.828500,1.174,-0.057,-0.132,-0.925
4.861800,1.306,-0.062,-0.158,-0.537
4.895100,1.396,-0.068,-0.170,-0.082
4.928400,1.546,-0.074,-0.163,0.353
4.961700,1.643,-0.079,-0.143,0.681
4.995000,1.763,-0.084,-0.116,0.923
5.028300,1.829,-0.087,-0.080,1.113
5.061600,1.883,-0.089,-0.039,1.227
5.094900,1.895,-0.090,0.001,1.327
5.128200,1.859,-0.089,0.050,1.375
5.161500,1.829,-0.086,0.100,1.214
5.194800,1.715,-0.082,0.134,0.924
5.228100,1.625,-0.077,0.163,0.557
5.261400,1.480,-0.071,0.174,0.108
5.294700,1.384,-0.065,0.170,-0.341
5.328000,1.240,-0.059,0.148,-0.714
5.361300,1.162,-0.055,0.122,-1.051
5.394600,1.090,-0.051,0.081,-1.417
5.427900,1.042,-0.049,0.021,-1.589
5.461200,1.060,-0.050,-0.032,-1.522
5.494500,1.078,-0.052,-0.083,-1.328
5.527800,1.168,-0.055,-0.125,-1.002
5.561100,1.234,-0.060,-0.150,-0.650
5.594400,1.378,-0.066,-0.168,-0.294
5.627700,1.474,-0.072,-0.171,0.092
5.661000,1.613,-0.077,-0.161,0.472
5.694300,1.715,-0.083,-0.139,0.841
5.727600,1.811,-0.087,-0.109,1.274
5.760900,1.865,-0.091,-0.051,1.592
5.794200,1.895,-0.090,0.011,1.508
5.827500,1.889,-0.089,0.052,1.300
5.860800,1.823,-0.087,0.094,1.150
5.894100,1.775,-0.083,0.131,0.913
5.927400,1.643,-0.078,0.159,0.564
5.960700,1.546,-0.072,0.171,0.141
5.994000,1.408,-0.066,0.168,-0.282
6.027300,1.300,-0.061,0.151,-0.664
6.060600,1.186,-0.056,0.121,-0.972
6.093900,1.102,-0.052,0.084,-1.220
6.127200,1.066,-0.050,0.040,-1.437
6.160500,1.042,-0.049,-0.013,-1.566
6.193800,1.078,-0.051,-0.073,-1.418
6.227100,1.108,-0.055,-0.111,-1.119
6.260400,1.222,-0.058,-0.145,-0.853
6.293700,1.306,-0.065,-0.174,-0.410
6.327000,1.450,-0.071,-0.174,0.084
6.360300,1.552,-0.077,-0.164,0.467
6.393600,1.679,-0.082,-0.141,0.791
6.426900,1.775,-0.086,-0.111,1.076
6.460200,1.835,-0.089,-0.070,1.354
6.493500,1.895,-0.091,-0.019,1.543
6.526800,1.871,-0.091,0.036,1.575
6.560100,1.865,-0.089,0.095,1.325
6.593400,1.769,-0.084,0.131,0.875
6.626700,1.703,-0.080,0.148,0.545
6.660000,1.570,-0.074,0.166,0.247
6.693300,1.468,-0.068,0.168,-0.137
6.726600,1.336,-0.063,0.158,-0.543
6.759900,1.228,-0.057,0.131,-0.919
6.793200,1.144,-0.054,0.092,-1.172
6.826500,1.066,-0.051,0.052,-1.362
6.859800,1.054,-0.050,0.002,-1.492
6.893100,1.042,-0.051,-0.058,-1.314
6.926400,1.114,-0.055,-0.091,-0.977
6.959700,1.162,-0.057,-0.115,-0.825
6.993000,1.294,-0.062,-0.148,-0.625
7.026300,1.390,-0.067,-0.163,-0.254
7.059600,1.510,-0.073,-0.165,0.156
7.092900,1.631,-0.078,-0.153,0.593
7.126200,1.739,-0.084,-0.125,1.004
7.159500,1.823,-0.087,-0.082,1.275
7.192800,1.859,-0.089,-0.036,1.393
7.226100,1.907,-0.090,0.013,1.409
7.259400,1.853,-0.088,0.062,1.279
7.292700,1.829,-0.085,0.101,1.030
7.326000,1.727,-0.082,0.134,0.679
7.359300,1.625,-0.076,0.146,0.331
7.392600,1.498,-0.072,0.151,0.105
7.425900,1.384,-0.066,0.156,-0.198
7.459200,1.264,-0.061,0.142,-0.618
7.492500,1.156,-0.056,0.114,-1.010
7.525800,1.114,-0.053,0.071,-1.272
7.559100,1.042,-0.051,0.023,-1.348
7.592400,1.066,-0.051,-0.023,-1.283
7.625700,1.066,-0.053,-0.058,-1.271
7.659000,1.150,-0.054,-0.112,-1.120
7.692300,1.228,-0.061,-0.144,-0.672
7.725600,1.354,-0.065,-0.151,-0.335
7.758900,1.468,-0.071,-0.164,-0.022
7.792200,1.588,-0.076,-0.158,0.416
7.825500,1.709,-0.082,-0.137,0.844
7.858800,1.775,-0.086,-0.098,1.149
7.892100,1.865,-0.088,-0.054,1.259
7.925400,1.877,-0.089,-0.012,1.282
7.958700,1.883,-0.089,0.033,1.243
7.992000,1.829,-0.087,0.069,1.229
8.025300,1.775,-0.085,0.117,1.124
8.058600,1.661,-0.079,0.151,0.789
8.091900,1.552,-0.075,0.172,0.345
8.125200,1.438,-0.067,0.179,-0.222
8.158500,1.300,-0.062,0.154,-0.686
8.191800,1.216,-0.057,0.127,-0.977
8.225100,1.108,-0.053,0.088,-1.213
8.258400,1.078,-0.051,0.044,-1.356
8.291700,1.042,-0.050,-0.004,-1.416
8.325000,1.084,-0.051,-0.053,-1.363
8.358300,1.108,-0.054,-0.099,-1.169
8.391600,1.204,-0.058,-0.136,-0.824
8.424900,1.306,-0.063,-0.154,-0.451
8.458200,1.414,-0.068,-0.164,-0.119
8.491500,1.546,-0.074,-0.163,0.224
8.524800,1.655,-0.080,-0.147,0.529
8.558100,1.769,-0.084,-0.131,0.926
8.591400,1.823,-0.089,-0.089,1.388
8.624700,1.889,-0.091,-0.028,1.549
8.658000,1.871,-0.091,0.021,1.467
8.691300,1.859,-0.089,0.070,1.297
8.724600,1.787,-0.086,0.110,1.035
8.757900,1.703,-0.082,0.139,0.777
8.791200,1.600,-0.076,0.163,0.483
8.824500,1.474,-0.070,0.172,0.127
8.857800,1.360,-0.065,0.175,-0.348
8.891100,1.228,-0.058,0.155,-0.947
8.924400,1.168,-0.054,0.105,-1.335
8.957700,1.072,-0.051,0.056,-1.424
8.991000,1.054,-0.050,0.008,-1.406
9.024300,1.054,-0.051,-0.038,-1.356
9.057600,1.102,-0.052,-0.084,-1.232
9.090900,1.162,-0.056,-0.124,-0.981
9.124200,1.264,-0.061,-0.153,-0.613
9.157500,1.378,-0.067,-0.165,-0.209
9.190800,1.486,-0.072,-0.165,0.171
9.224100,1.631,-0.078,-0.155,0.584
9.257400,1.709,-0.083,-0.125,0.951
9.290700,1.811,-0.087,-0.088,1.196
9.324000,1.859,-0.089,-0.044,1.357
9.357300,1.889,-0.090,0.005,1.416
9.390600,1.865,-0.089,0.053,1.365
9.423900,1.823,-0.086,0.100,1.157
9.457200,1.745,-0.082,0.133,0.848
9.490500,1.631,-0.077,0.157,0.512
9.523800,1.522,-0.071,0.169,0.105
9.557100,1.390,-0.065,0.164,-0.322
9.590400,1.294,-0.060,0.147,-0.735
9.623700,1.174,-0.055,0.115,-1.122
9.657000,1.120,-0.052,0.072,-1.447
9.690300,1.060,-0.050,0.011,-1.516
9.723600,1.060,-0.052,-0.039,-1.279
9.756900,1.078,-0.053,-0.071,-1.084
9.790200,1.138,-0.056,-0.108,-0.947
9.823500,1.228,-0.060,-0.138,-0.707
9.856800,1.324,-0.066,-0.157,-0.409
9.890100,1.456,-0.071,-0.165,-0.103
9.923400,1.564,-0.077,-0.165,0.192
9.956700,1.691,-0.083,-0.149,0.397
9.990000,1.763,-0.086,-0.131,0.496
