"Time","Radiation"
0.05,20
0.10,19
0.15,15
0.20,19
0.25,18
0.30,14
0.35,19
0.40,21
0.45,25
0.50,26
0.55,20
0.60,22
0.65,18
0.70,21
0.75,24
0.80,19
0.85,34
0.90,18
0.95,28
1.00,21
1.05,19
1.10,25
1.15,16
1.20,24
1.25,21
1.30,22
1.35,18
1.40,25
1.45,17
1.50,25
1.55,25
1.60,21
1.65,26
1.70,21
1.75,20
1.80,24
1.85,23
1.90,20
1.95,26
2.00,16
2.05,26
2.10,20
2.15,22
2.20,15
2.25,28
2.30,20
2.35,27
2.40,22
2.45,25
2.50,22
2.55,26
2.60,24
2.65,25
2.70,22
2.75,25
2.80,20
2.85,23
2.90,24
2.95,26
3.00,19
3.05,22
3.10,25
3.15,25
3.20,25
3.25,19
3.30,23
3.35,16
3.40,22
3.45,19
3.50,22
3.55,23
3.60,27
3.65,26
3.70,20
3.75,19
3.80,22
3.85,23
3.90,30
3.95,26
4.00,21
4.05,15
4.10,20
4.15,20
4.20,22
4.25,24
4.30,21
4.35,19
4.40,22
4.45,24
4.50,25
4.55,18
4.60,23
4.65,19
4.70,20
4.75,18
4.80,25
4.85,23
4.90,26
4.95,21
5.00,21
5.05,19
5.10,26
5.15,21
5.20,22
5.25,26
5.30,25
5.35,21
5.40,25
5.45,21
5.50,22
5.55,28
5.60,23
5.65,20
5.70,20
5.75,22
5.80,28
5.85,26
5.90,26
5.95,29
6.00,28
6.05,23
6.10,22
6.15,20
6.20,21
6.25,20
6.30,20
6.35,18
6.40,19
6.45,25
6.50,23
6.55,20
6.60,27
6.65,22
6.70,23
6.75,28
6.80,23
6.85,21
6.90,16
6.95,20
7.00,16
7.05,18
7.10,16
7.15,23
7.20,23
7.25,24
7.30,19
7.35,20
7.40,19
7.45,22
7.50,24
7.55,16
7.60,22
7.65,23
7.70,18
7.75,25
7.80,19
7.85,22
7.90,28
7.95,21
8.00,27
8.05,12
8.10,20
8.15,22
8.20,22
8.25,27
8.30,26
8.35,25
8.40,30
8.45,20
8.50,19
8.55,22
8.60,19
8.65,16
8.70,20
8.75,12
8.80,18
8.85,19
8.90,32
8.95,16
9.00,18
9.05,16
9.10,18
9.15,18
9.20,16
9.25,21
9.30,22
9.35,16
9.40,27
9.45,22
9.50,28
9.55,22
9.60,24
9.65,19
9.70,22
9.75,17
9.80,24
9.85,24
9.90,23
9.95,21
10.00,29
