"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
0.02,-0.363,0.524,0.028,0.000,0.000,-0.032
0.04,-0.352,0.525,-0.029,0.000,-0.001,-0.028
0.06,-0.342,0.523,-0.050,0.000,-0.001,-0.011
0.08,-0.331,0.522,0.006,0.000,-0.003,0.079
0.10,-0.321,0.522,0.127,0.000,0.002,0.176
0.12,-0.311,0.526,0.256,0.000,0.008,0.077
0.14,-0.300,0.534,0.228,0.000,0.006,-0.095
0.16,-0.289,0.548,-0.303,0.000,0.002,-0.133
0.18,-0.277,0.518,-0.609,0.000,-0.001,-0.076
0.20,-0.269,0.495,0.266,0.000,-0.003,0.057
0.22,-0.259,0.540,0.622,0.000,0.002,0.171
0.24,-0.246,0.548,-0.173,0.000,0.008,0.077
0.26,-0.236,0.523,-0.544,0.001,0.006,-0.092
0.28,-0.225,0.500,0.145,0.001,0.002,-0.120
0.30,-0.217,0.532,0.733,0.001,0.000,-0.054
0.32,-0.204,0.561,0.002,0.001,-0.002,0.062
0.34,-0.193,0.528,-0.621,0.000,0.004,0.082
0.36,-0.184,0.515,-0.373,0.001,0.006,-0.091
0.38,-0.173,0.513,0.015,0.001,-0.004,-0.086
0.40,-0.163,0.517,0.397,0.000,0.000,0.025
0.42,-0.152,0.527,0.723,0.001,0.004,-0.122
0.44,-0.142,0.557,0.499,0.001,-0.008,-0.141
0.46,-0.130,0.563,-0.375,0.000,-0.008,0.096
0.48,-0.119,0.531,-0.764,0.000,-0.001,0.201
0.50,-0.109,0.515,-0.323,0.000,0.006,0.038
0.52,-0.099,0.515,0.344,0.001,0.000,-0.129
0.54,-0.089,0.532,0.804,0.000,-0.006,-0.019
0.56,-0.078,0.564,0.419,0.000,0.001,0.053
0.58,-0.065,0.561,-0.540,0.001,0.000,0.005
0.60,-0.055,0.529,-0.918,0.000,-0.002,0.087
0.62,-0.044,0.509,-0.553,0.000,0.003,0.253
0.64,-0.035,0.507,-0.213,0.001,0.005,0.702
0.66,-0.024,0.512,-0.582,0.001,0.014,1.947
0.68,-0.014,0.515,-2.321,0.000,0.076,3.395
0.70,-0.002,0.420,-3.959,0.003,0.176,3.507
0.72,0.003,0.303,-3.122,0.008,0.247,2.114
0.74,0.009,0.275,-1.193,0.014,0.262,0.539
0.76,0.014,0.271,0.123,0.019,0.248,-0.122
0.78,0.019,0.303,0.279,0.023,0.244,-0.048
0.80,0.026,0.300,-0.478,0.028,0.247,0.118
0.82,0.031,0.269,-0.594,0.033,0.252,0.206
0.84,0.037,0.263,-0.099,0.039,0.255,0.294
0.86,0.042,0.264,0.444,0.044,0.259,0.483
0.88,0.046,0.293,0.387,0.048,0.282,0.291
0.90,0.054,0.296,-0.402,0.055,0.282,-0.355
0.92,0.059,0.264,-0.616,0.060,0.258,-0.564
0.94,0.064,0.257,-0.181,0.065,0.250,-0.330
0.96,0.069,0.261,0.107,0.070,0.247,-0.145
0.98,0.074,0.265,0.153,0.075,0.247,-0.076
1.00,0.079,0.283,-0.529,0.080,0.245,-0.102
1.02,0.087,0.246,-1.260,0.085,0.242,-0.098
1.04,0.089,0.206,-0.813,0.090,0.240,-0.050
1.06,0.094,0.212,-0.278,0.095,0.240,-0.019
1.08,0.098,0.208,-0.268,0.099,0.240,-0.007
1.10,0.102,0.208,-0.547,0.104,0.240,-0.015
1.12,0.107,0.179,-0.588,0.109,0.240,-0.032
1.14,0.109,0.171,-0.128,0.114,0.239,-0.048
1.16,0.113,0.195,-0.471,0.118,0.236,-0.001
1.18,0.118,0.157,-0.893,0.123,0.239,0.045
1.20,0.119,0.124,0.161,0.128,0.240,0.017
1.22,0.122,0.160,1.361,0.133,0.240,-0.014
1.24,0.126,0.207,1.333,0.138,0.239,-0.034
1.26,0.131,0.223,0.742,0.142,0.237,0.014
1.28,0.135,0.229,0.367,0.147,0.240,0.046
1.30,0.140,0.236,0.146,0.152,0.242,-0.070
1.32,0.144,0.234,0.033,0.157,0.236,-0.142
1.34,0.149,0.234,0.076,0.161,0.234,-0.082
1.36,0.154,0.235,0.227,0.166,0.232,0.059
1.38,0.158,0.243,0.350,0.171,0.232,0.347
1.40,0.163,0.252,0.328,0.175,0.244,0.636
1.42,0.168,0.268,-0.156,0.180,0.271,0.319
1.44,0.175,0.238,-0.356,0.187,0.268,-0.469
1.46,0.177,0.238,0.065,0.191,0.239,-0.687
1.48,0.184,0.256,-0.124,0.196,0.229,-0.391
1.50,0.188,0.236,-0.389,0.200,0.226,-0.148
1.52,0.193,0.230,-0.224,0.205,0.226,-0.030
1.54,0.197,0.228,-0.069,0.209,0.226,-0.004
1.56,0.202,0.230,-0.022,0.214,0.226,0.000
