"Time","Pressure","Temperature"
0.000000,761.6,7.9
0.166667,762.0,7.9
0.333333,761.6,7.9
0.500000,761.6,7.9
0.666667,761.6,7.9
0.833333,761.6,7.9
1.000000,761.6,7.9
1.166667,761.6,7.9
1.333333,761.6,7.8
1.500000,762.0,7.9
1.666667,762.4,8.1
1.833333,762.8,8.4
2.000000,763.7,8.6
2.166667,764.1,9.0
2.333333,765.0,9.3
2.500000,765.8,9.9
2.666667,766.7,10.0
2.833333,767.1,10.0
3.000000,767.9,10.2
3.166667,769.2,10.5
3.333333,770.1,10.8
3.500000,770.9,11.2
3.666667,771.3,11.8
3.833333,772.2,12.0
4.000000,773.1,12.3
4.166667,773.9,12.5
4.333333,774.3,12.8
4.500000,775.2,13.0
4.666667,776.5,13.5
4.833333,777.3,13.8
5.000000,778.2,14.3
5.166667,779.4,14.7
5.333333,780.3,14.9
5.500000,781.1,15.8
5.666667,782.0,16.0
5.833333,782.8,16.1
6.000000,783.7,16.5
6.166667,785.0,16.7
6.333333,785.8,16.9
6.500000,787.1,17.5
6.666667,787.9,18.0
6.833333,789.2,18.4
7.000000,790.1,18.9
7.166667,791.4,19.3
7.333333,792.2,19.5
7.500000,793.5,19.9
7.666667,794.8,20.3
7.833333,795.6,20.4
8.000000,796.9,20.8
8.166667,798.2,21.3
8.333333,799.0,22.1
8.500000,799.9,22.9
8.666667,801.1,23.1
8.833333,802.4,23.3
9.000000,803.3,23.7
9.166667,804.5,24.1
9.333333,805.4,24.8
9.500000,806.7,25.0
9.666667,808.0,26.0
9.833333,809.2,26.3
10.000000,810.5,26.4
10.166667,811.4,27.4
10.333333,812.2,27.5
10.500000,813.5,27.8
10.666667,814.8,28.1
10.833333,816.0,28.4
11.000000,816.9,29.0
11.166667,817.7,29.4
11.333333,819.0,30.1
11.500000,820.3,30.7
11.666667,821.6,30.9
11.833333,822.9,31.5
12.000000,823.7,32.2
12.166667,824.6,32.2
12.333333,825.8,32.5
12.500000,827.1,33.0
12.666667,828.4,33.1
12.833333,829.7,33.9
13.000000,830.5,34.3
13.166667,831.4,34.6
13.333333,832.6,35.0
13.500000,833.9,35.8
13.666667,834.8,35.8
13.833333,836.1,36.5
14.000000,837.3,36.8
14.166667,838.2,37.5
14.333333,839.5,37.8
14.500000,840.3,38.2
14.666667,841.6,38.4
14.833333,842.9,38.9
15.000000,843.7,39.5
15.166667,845.0,39.9
15.333333,845.4,40.3
15.500000,847.1,40.6
15.666667,848.0,40.8
15.833333,849.2,41.2
16.000000,850.5,41.8
16.166667,851.8,42.3
16.333333,852.7,42.7
16.500000,853.9,43.1
16.666667,854.8,43.4
16.833333,856.1,43.8
17.000000,856.9,44.3
17.166667,857.8,44.8
17.333333,858.6,45.2
17.500000,859.9,45.7
17.666667,860.7,46.0
17.833333,862.0,46.4
18.000000,863.3,46.6
18.166667,864.6,47.2
18.333333,865.4,47.7
18.500000,866.7,48.2
18.666667,867.5,48.6
18.833333,868.4,48.9
